"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,422","18.59%","91.04%","927","24.33%","8.96%","10,349","18.99%"
"1 to 1.99 years","7,625","15.05%","91.18%","738","19.37%","8.82%","8,363","15.35%"
"2 to 2.99 years","5,426","10.71%","91.36%","513","13.46%","8.64%","5,939","10.90%"
"3 to 3.99 years","4,140","8.17%","92.18%","351","9.21%","7.82%","4,491","8.24%"
"4 to 4.99 years","3,503","6.91%","92.50%","284","7.45%","7.50%","3,787","6.95%"
"5 to 5.99 years","2,953","5.83%","93.57%","203","5.33%","6.43%","3,156","5.79%"
"6 to 6.99 years","2,314","4.57%","94.07%","146","3.83%","5.93%","2,460","4.51%"
"7 to 7.99 years","1,934","3.82%","94.34%","116","3.04%","5.66%","2,050","3.76%"
"8 to 8.99 years","1,562","3.08%","95.71%","70","1.84%","4.29%","1,632","2.99%"
"9 to 9.99 years","1,713","3.38%","95.70%","77","2.02%","4.30%","1,790","3.28%"
"10 to 10.99 years","1,142","2.25%","94.85%","62","1.63%","5.15%","1,204","2.21%"
"11 to 11.99 years","934","1.84%","95.21%","47","1.23%","4.79%","981","1.80%"
"12 to 12.99 years","739","1.46%","95.97%","31","0.81%","4.03%","770","1.41%"
"13 to 13.99 years","693","1.37%","95.19%","35","0.92%","4.81%","728","1.34%"
"14 to 14.99 years","698","1.38%","95.75%","31","0.81%","4.25%","729","1.34%"
"15 to 15.99 years","530","1.05%","96.36%","20","0.52%","3.64%","550","1.01%"
"16 to 16.99 years","551","1.09%","97.35%","15","0.39%","2.65%","566","1.04%"
"17 to 17.99 years","495","0.98%","94.65%","28","0.73%","5.35%","523","0.96%"
"18 to 18.99 years","435","0.86%","95.39%","21","0.55%","4.61%","456","0.84%"
"19 to 19.99 years","517","1.02%","97.36%","14","0.37%","2.64%","531","0.97%"
"20 to 20.99 years","410","0.81%","97.62%","10","0.26%","2.38%","420","0.77%"
"21 to 21.99 years","367","0.72%","96.83%","12","0.31%","3.17%","379","0.70%"
"22 to 22.99 years","351","0.69%","96.69%","12","0.31%","3.31%","363","0.67%"
"23 to 23.99 years","305","0.60%","96.83%","10","0.26%","3.17%","315","0.58%"
"24 to 24.99 years","251","0.50%","97.67%","6","0.16%","2.33%","257","0.47%"
"25 to 25.99 years","229","0.45%","96.22%","9","0.24%","3.78%","238","0.44%"
"26 to 26.99 years","180","0.36%","97.30%","5","0.13%","2.70%","185","0.34%"
"27 to 27.99 years","141","0.28%","96.58%","5","0.13%","3.42%","146","0.27%"
"28 to 28.99 years","141","0.28%","100.00%","","","","141","0.26%"
"29 to 29.99 years","126","0.25%","98.44%","2","0.05%","1.56%","128","0.23%"
"Thirty + years","854","1.69%","98.84%","10","0.26%","1.16%","864","1.59%"
"Total Reported","50,681","100%","93.01%","3,810","100%","6.99%","54,491","100%"
"Not Reported","19",,,"0",,,"19",
"Grand Total","50,700",,,"3,810",,,"54,510",
