"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,358","18.49%","90.63%","967","25.24%","9.37%","10,325","18.97%"
"1 to 1.99 years","7,536","14.89%","91.68%","684","17.85%","8.32%","8,220","15.10%"
"2 to 2.99 years","5,365","10.60%","91.40%","505","13.18%","8.60%","5,870","10.78%"
"3 to 3.99 years","4,215","8.33%","92.07%","363","9.48%","7.93%","4,578","8.41%"
"4 to 4.99 years","3,461","6.84%","92.17%","294","7.67%","7.83%","3,755","6.90%"
"5 to 5.99 years","2,886","5.70%","93.67%","195","5.09%","6.33%","3,081","5.66%"
"6 to 6.99 years","2,451","4.84%","93.91%","159","4.15%","6.09%","2,610","4.79%"
"7 to 7.99 years","1,841","3.64%","94.46%","108","2.82%","5.54%","1,949","3.58%"
"8 to 8.99 years","1,667","3.29%","94.39%","99","2.58%","5.61%","1,766","3.24%"
"9 to 9.99 years","1,534","3.03%","95.82%","67","1.75%","4.18%","1,601","2.94%"
"10 to 10.99 years","1,242","2.45%","95.39%","60","1.57%","4.61%","1,302","2.39%"
"11 to 11.99 years","981","1.94%","95.43%","47","1.23%","4.57%","1,028","1.89%"
"12 to 12.99 years","737","1.46%","95.84%","32","0.84%","4.16%","769","1.41%"
"13 to 13.99 years","675","1.33%","95.61%","31","0.81%","4.39%","706","1.30%"
"14 to 14.99 years","698","1.38%","95.49%","33","0.86%","4.51%","731","1.34%"
"15 to 15.99 years","525","1.04%","95.11%","27","0.70%","4.89%","552","1.01%"
"16 to 16.99 years","534","1.06%","97.27%","15","0.39%","2.73%","549","1.01%"
"17 to 17.99 years","508","1.00%","95.85%","22","0.57%","4.15%","530","0.97%"
"18 to 18.99 years","430","0.85%","94.71%","24","0.63%","5.29%","454","0.83%"
"19 to 19.99 years","470","0.93%","96.91%","15","0.39%","3.09%","485","0.89%"
"20 to 20.99 years","435","0.86%","97.53%","11","0.29%","2.47%","446","0.82%"
"21 to 21.99 years","374","0.74%","96.39%","14","0.37%","3.61%","388","0.71%"
"22 to 22.99 years","357","0.71%","98.08%","7","0.18%","1.92%","364","0.67%"
"23 to 23.99 years","307","0.61%","95.64%","14","0.37%","4.36%","321","0.59%"
"24 to 24.99 years","271","0.54%","98.55%","4","0.10%","1.45%","275","0.51%"
"25 to 25.99 years","218","0.43%","95.61%","10","0.26%","4.39%","228","0.42%"
"26 to 26.99 years","213","0.42%","97.26%","6","0.16%","2.74%","219","0.40%"
"27 to 27.99 years","143","0.28%","95.97%","6","0.16%","4.03%","149","0.27%"
"28 to 28.99 years","134","0.26%","99.26%","1","0.03%","0.74%","135","0.25%"
"29 to 29.99 years","128","0.25%","99.22%","1","0.03%","0.78%","129","0.24%"
"Thirty + years","909","1.80%","98.91%","10","0.26%","1.09%","919","1.69%"
"Total Reported","50,603","100%","92.96%","3,831","100%","7.04%","54,434","100%"
"Not Reported","36",,,"0",,,"36",
"Grand Total","50,639",,,"3,831",,,"54,470",
