"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","7,093","16.21%","91.94%","622","20.56%","8.06%","7,715","16.50%"
"1 to 1.99 years","3,987","9.11%","91.24%","383","12.66%","8.76%","4,370","9.34%"
"2 to 2.99 years","4,869","11.13%","91.49%","453","14.98%","8.51%","5,322","11.38%"
"3 to 3.99 years","3,928","8.98%","92.12%","336","11.11%","7.88%","4,264","9.12%"
"4 to 4.99 years","3,170","7.25%","93.07%","236","7.80%","6.93%","3,406","7.28%"
"5 to 5.99 years","2,612","5.97%","94.33%","157","5.19%","5.67%","2,769","5.92%"
"6 to 6.99 years","2,131","4.87%","93.75%","142","4.69%","6.25%","2,273","4.86%"
"7 to 7.99 years","1,873","4.28%","94.69%","105","3.47%","5.31%","1,978","4.23%"
"8 to 8.99 years","1,643","3.76%","94.64%","93","3.07%","5.36%","1,736","3.71%"
"9 to 9.99 years","1,406","3.21%","94.49%","82","2.71%","5.51%","1,488","3.18%"
"10 to 10.99 years","1,239","2.83%","95.82%","54","1.79%","4.18%","1,293","2.76%"
"11 to 11.99 years","906","2.07%","94.77%","50","1.65%","5.23%","956","2.04%"
"12 to 12.99 years","844","1.93%","95.48%","40","1.32%","4.52%","884","1.89%"
"13 to 13.99 years","771","1.76%","96.01%","32","1.06%","3.99%","803","1.72%"
"14 to 14.99 years","802","1.83%","96.74%","27","0.89%","3.26%","829","1.77%"
"15 to 15.99 years","595","1.36%","95.97%","25","0.83%","4.03%","620","1.33%"
"16 to 16.99 years","490","1.12%","94.96%","26","0.86%","5.04%","516","1.10%"
"17 to 17.99 years","452","1.03%","95.16%","23","0.76%","4.84%","475","1.02%"
"18 to 18.99 years","466","1.07%","95.88%","20","0.66%","4.12%","486","1.04%"
"19 to 19.99 years","426","0.97%","95.73%","19","0.63%","4.27%","445","0.95%"
"20 to 20.99 years","353","0.81%","97.51%","9","0.30%","2.49%","362","0.77%"
"21 to 21.99 years","335","0.77%","95.71%","15","0.50%","4.29%","350","0.75%"
"22 to 22.99 years","287","0.66%","95.35%","14","0.46%","4.65%","301","0.64%"
"23 to 23.99 years","321","0.73%","96.11%","13","0.43%","3.89%","334","0.71%"
"24 to 24.99 years","337","0.77%","97.12%","10","0.33%","2.88%","347","0.74%"
"25 to 25.99 years","319","0.73%","97.26%","9","0.30%","2.74%","328","0.70%"
"26 to 26.99 years","262","0.60%","98.50%","4","0.13%","1.50%","266","0.57%"
"27 to 27.99 years","230","0.53%","97.46%","6","0.20%","2.54%","236","0.50%"
"28 to 28.99 years","203","0.46%","98.54%","3","0.10%","1.46%","206","0.44%"
"29 to 29.99 years","150","0.34%","98.04%","3","0.10%","1.96%","153","0.33%"
"Thirty + years","1,246","2.85%","98.89%","14","0.46%","1.11%","1,260","2.69%"
"Total Reported","43,746","100%","93.53%","3,025","100%","6.47%","46,771","100%"
"Not Reported","9",,,"0",,,"9",
"Grand Total","43,755",,,"3,025",,,"46,780",
