"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","10,129","19.90%","90.27%","1,092","27.79%","9.73%","11,221","20.47%"
"1 to 1.99 years","7,397","14.53%","91.45%","692","17.61%","8.55%","8,089","14.75%"
"2 to 2.99 years","5,305","10.42%","91.81%","473","12.04%","8.19%","5,778","10.54%"
"3 to 3.99 years","4,163","8.18%","91.78%","373","9.49%","8.22%","4,536","8.27%"
"4 to 4.99 years","3,277","6.44%","93.02%","246","6.26%","6.98%","3,523","6.43%"
"5 to 5.99 years","2,677","5.26%","92.98%","202","5.14%","7.02%","2,879","5.25%"
"6 to 6.99 years","2,341","4.60%","93.75%","156","3.97%","6.25%","2,497","4.55%"
"7 to 7.99 years","2,048","4.02%","94.29%","124","3.16%","5.71%","2,172","3.96%"
"8 to 8.99 years","1,607","3.16%","94.47%","94","2.39%","5.53%","1,701","3.10%"
"9 to 9.99 years","1,475","2.90%","94.43%","87","2.21%","5.57%","1,562","2.85%"
"10 to 10.99 years","1,095","2.15%","95.88%","47","1.20%","4.12%","1,142","2.08%"
"11 to 11.99 years","1,118","2.20%","95.88%","48","1.22%","4.12%","1,166","2.13%"
"12 to 12.99 years","850","1.67%","96.70%","29","0.74%","3.30%","879","1.60%"
"13 to 13.99 years","682","1.34%","95.12%","35","0.89%","4.88%","717","1.31%"
"14 to 14.99 years","635","1.25%","95.49%","30","0.76%","4.51%","665","1.21%"
"15 to 15.99 years","541","1.06%","94.91%","29","0.74%","5.09%","570","1.04%"
"16 to 16.99 years","505","0.99%","95.28%","25","0.64%","4.72%","530","0.97%"
"17 to 17.99 years","498","0.98%","97.27%","14","0.36%","2.73%","512","0.93%"
"18 to 18.99 years","467","0.92%","95.50%","22","0.56%","4.50%","489","0.89%"
"19 to 19.99 years","406","0.80%","94.86%","22","0.56%","5.14%","428","0.78%"
"20 to 20.99 years","364","0.72%","95.54%","17","0.43%","4.46%","381","0.69%"
"21 to 21.99 years","390","0.77%","97.50%","10","0.25%","2.50%","400","0.73%"
"22 to 22.99 years","360","0.71%","97.83%","8","0.20%","2.17%","368","0.67%"
"23 to 23.99 years","336","0.66%","96.55%","12","0.31%","3.45%","348","0.63%"
"24 to 24.99 years","295","0.58%","97.36%","8","0.20%","2.64%","303","0.55%"
"25 to 25.99 years","270","0.53%","97.47%","7","0.18%","2.53%","277","0.51%"
"26 to 26.99 years","182","0.36%","97.33%","5","0.13%","2.67%","187","0.34%"
"27 to 27.99 years","212","0.42%","96.36%","8","0.20%","3.64%","220","0.40%"
"28 to 28.99 years","138","0.27%","96.50%","5","0.13%","3.50%","143","0.26%"
"29 to 29.99 years","113","0.22%","100.00%","","","","113","0.21%"
"Thirty + years","1,019","2.00%","99.03%","10","0.25%","0.97%","1,029","1.88%"
"Total Reported","50,895","100%","92.83%","3,930","100%","7.17%","54,825","100%"
"Not Reported","53",,,"3",,,"56",
"Grand Total","50,948",,,"3,933",,,"54,881",
