"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,364","18.59%","90.99%","927","24.61%","9.01%","10,291","19.01%"
"1 to 1.99 years","7,566","15.02%","91.21%","729","19.35%","8.79%","8,295","15.32%"
"2 to 2.99 years","5,424","10.77%","91.76%","487","12.93%","8.24%","5,911","10.92%"
"3 to 3.99 years","4,107","8.15%","92.06%","354","9.40%","7.94%","4,461","8.24%"
"4 to 4.99 years","3,464","6.88%","92.45%","283","7.51%","7.55%","3,747","6.92%"
"5 to 5.99 years","2,980","5.92%","93.42%","210","5.57%","6.58%","3,190","5.89%"
"6 to 6.99 years","2,175","4.32%","94.24%","133","3.53%","5.76%","2,308","4.26%"
"7 to 7.99 years","2,016","4.00%","94.69%","113","3.00%","5.31%","2,129","3.93%"
"8 to 8.99 years","1,550","3.08%","95.38%","75","1.99%","4.62%","1,625","3.00%"
"9 to 9.99 years","1,706","3.39%","95.68%","77","2.04%","4.32%","1,783","3.29%"
"10 to 10.99 years","1,125","2.23%","94.94%","60","1.59%","5.06%","1,185","2.19%"
"11 to 11.99 years","908","1.80%","95.08%","47","1.25%","4.92%","955","1.76%"
"12 to 12.99 years","724","1.44%","95.89%","31","0.82%","4.11%","755","1.39%"
"13 to 13.99 years","717","1.42%","95.47%","34","0.90%","4.53%","751","1.39%"
"14 to 14.99 years","676","1.34%","95.89%","29","0.77%","4.11%","705","1.30%"
"15 to 15.99 years","551","1.09%","96.16%","22","0.58%","3.84%","573","1.06%"
"16 to 16.99 years","522","1.04%","97.03%","16","0.42%","2.97%","538","0.99%"
"17 to 17.99 years","508","1.01%","94.95%","27","0.72%","5.05%","535","0.99%"
"18 to 18.99 years","456","0.91%","95.40%","22","0.58%","4.60%","478","0.88%"
"19 to 19.99 years","509","1.01%","97.51%","13","0.35%","2.49%","522","0.96%"
"20 to 20.99 years","407","0.81%","97.60%","10","0.27%","2.40%","417","0.77%"
"21 to 21.99 years","368","0.73%","96.59%","13","0.35%","3.41%","381","0.70%"
"22 to 22.99 years","346","0.69%","97.74%","8","0.21%","2.26%","354","0.65%"
"23 to 23.99 years","304","0.60%","96.51%","11","0.29%","3.49%","315","0.58%"
"24 to 24.99 years","240","0.48%","97.56%","6","0.16%","2.44%","246","0.45%"
"25 to 25.99 years","231","0.46%","96.25%","9","0.24%","3.75%","240","0.44%"
"26 to 26.99 years","171","0.34%","96.61%","6","0.16%","3.39%","177","0.33%"
"27 to 27.99 years","132","0.26%","97.78%","3","0.08%","2.22%","135","0.25%"
"28 to 28.99 years","145","0.29%","100.00%","","","","145","0.27%"
"29 to 29.99 years","128","0.25%","98.46%","2","0.05%","1.54%","130","0.24%"
"Thirty + years","851","1.69%","98.84%","10","0.27%","1.16%","861","1.59%"
"Total Reported","50,371","100%","93.04%","3,767","100%","6.96%","54,138","100%"
"Not Reported","67",,,"1",,,"68",
"Grand Total","50,438",,,"3,768",,,"54,206",
