"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,888","19.35%","90.07%","1,090","27.39%","9.93%","10,978","19.94%"
"1 to 1.99 years","7,701","15.07%","91.21%","742","18.65%","8.79%","8,443","15.33%"
"2 to 2.99 years","5,313","10.40%","91.87%","470","11.81%","8.13%","5,783","10.50%"
"3 to 3.99 years","4,147","8.12%","92.71%","326","8.19%","7.29%","4,473","8.12%"
"4 to 4.99 years","3,354","6.57%","92.12%","287","7.21%","7.88%","3,641","6.61%"
"5 to 5.99 years","2,622","5.13%","93.58%","180","4.52%","6.42%","2,802","5.09%"
"6 to 6.99 years","2,261","4.43%","92.63%","180","4.52%","7.37%","2,441","4.43%"
"7 to 7.99 years","2,045","4.00%","94.50%","119","2.99%","5.50%","2,164","3.93%"
"8 to 8.99 years","1,797","3.52%","94.63%","102","2.56%","5.37%","1,899","3.45%"
"9 to 9.99 years","1,359","2.66%","94.44%","80","2.01%","5.56%","1,439","2.61%"
"10 to 10.99 years","1,079","2.11%","95.66%","49","1.23%","4.34%","1,128","2.05%"
"11 to 11.99 years","1,095","2.14%","95.80%","48","1.21%","4.20%","1,143","2.08%"
"12 to 12.99 years","907","1.78%","96.18%","36","0.90%","3.82%","943","1.71%"
"13 to 13.99 years","747","1.46%","95.77%","33","0.83%","4.23%","780","1.42%"
"14 to 14.99 years","623","1.22%","95.26%","31","0.78%","4.74%","654","1.19%"
"15 to 15.99 years","522","1.02%","94.91%","28","0.70%","5.09%","550","1.00%"
"16 to 16.99 years","539","1.06%","95.23%","27","0.68%","4.77%","566","1.03%"
"17 to 17.99 years","448","0.88%","96.34%","17","0.43%","3.66%","465","0.84%"
"18 to 18.99 years","467","0.91%","97.29%","13","0.33%","2.71%","480","0.87%"
"19 to 19.99 years","415","0.81%","94.10%","26","0.65%","5.90%","441","0.80%"
"20 to 20.99 years","343","0.67%","95.28%","17","0.43%","4.72%","360","0.65%"
"21 to 21.99 years","389","0.76%","97.01%","12","0.30%","2.99%","401","0.73%"
"22 to 22.99 years","361","0.71%","97.57%","9","0.23%","2.43%","370","0.67%"
"23 to 23.99 years","334","0.65%","96.53%","12","0.30%","3.47%","346","0.63%"
"24 to 24.99 years","333","0.65%","97.37%","9","0.23%","2.63%","342","0.62%"
"25 to 25.99 years","269","0.53%","97.11%","8","0.20%","2.89%","277","0.50%"
"26 to 26.99 years","206","0.40%","98.56%","3","0.08%","1.44%","209","0.38%"
"27 to 27.99 years","193","0.38%","95.54%","9","0.23%","4.46%","202","0.37%"
"28 to 28.99 years","165","0.32%","98.21%","3","0.08%","1.79%","168","0.31%"
"29 to 29.99 years","124","0.24%","97.64%","3","0.08%","2.36%","127","0.23%"
"Thirty + years","1,042","2.04%","99.05%","10","0.25%","0.95%","1,052","1.91%"
"Total Reported","51,088","100%","92.77%","3,979","100%","7.23%","55,067","100%"
"Not Reported","36",,,"4",,,"40",
"Grand Total","51,124",,,"3,983",,,"55,107",
