"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,571","19.34%","90.78%","972","27.11%","9.22%","10,543","19.87%"
"1 to 1.99 years","7,247","14.65%","91.64%","661","18.44%","8.36%","7,908","14.90%"
"2 to 2.99 years","5,184","10.48%","92.03%","449","12.52%","7.97%","5,633","10.61%"
"3 to 3.99 years","4,236","8.56%","92.81%","328","9.15%","7.19%","4,564","8.60%"
"4 to 4.99 years","3,569","7.21%","92.82%","276","7.70%","7.18%","3,845","7.25%"
"5 to 5.99 years","2,512","5.08%","94.22%","154","4.30%","5.78%","2,666","5.02%"
"6 to 6.99 years","2,271","4.59%","95.02%","119","3.32%","4.98%","2,390","4.50%"
"7 to 7.99 years","1,826","3.69%","94.71%","102","2.85%","5.29%","1,928","3.63%"
"8 to 8.99 years","1,865","3.77%","95.40%","90","2.51%","4.60%","1,955","3.68%"
"9 to 9.99 years","1,534","3.10%","95.22%","77","2.15%","4.78%","1,611","3.04%"
"10 to 10.99 years","968","1.96%","94.90%","52","1.45%","5.10%","1,020","1.92%"
"11 to 11.99 years","831","1.68%","95.63%","38","1.06%","4.37%","869","1.64%"
"12 to 12.99 years","778","1.57%","95.34%","38","1.06%","4.66%","816","1.54%"
"13 to 13.99 years","711","1.44%","95.69%","32","0.89%","4.31%","743","1.40%"
"14 to 14.99 years","698","1.41%","97.08%","21","0.59%","2.92%","719","1.35%"
"15 to 15.99 years","562","1.14%","96.23%","22","0.61%","3.77%","584","1.10%"
"16 to 16.99 years","518","1.05%","94.87%","28","0.78%","5.13%","546","1.03%"
"17 to 17.99 years","509","1.03%","95.32%","25","0.70%","4.68%","534","1.01%"
"18 to 18.99 years","562","1.14%","97.91%","12","0.33%","2.09%","574","1.08%"
"19 to 19.99 years","505","1.02%","97.68%","12","0.33%","2.32%","517","0.97%"
"20 to 20.99 years","381","0.77%","95.97%","16","0.45%","4.03%","397","0.75%"
"21 to 21.99 years","348","0.70%","97.21%","10","0.28%","2.79%","358","0.67%"
"22 to 22.99 years","322","0.65%","96.70%","11","0.31%","3.30%","333","0.63%"
"23 to 23.99 years","240","0.49%","97.17%","7","0.20%","2.83%","247","0.47%"
"24 to 24.99 years","251","0.51%","96.54%","9","0.25%","3.46%","260","0.49%"
"25 to 25.99 years","180","0.36%","96.77%","6","0.17%","3.23%","186","0.35%"
"26 to 26.99 years","144","0.29%","97.96%","3","0.08%","2.04%","147","0.28%"
"27 to 27.99 years","155","0.31%","98.10%","3","0.08%","1.90%","158","0.30%"
"28 to 28.99 years","133","0.27%","99.25%","1","0.03%","0.75%","134","0.25%"
"29 to 29.99 years","97","0.20%","98.98%","1","0.03%","1.02%","98","0.18%"
"Thirty + years","776","1.57%","98.73%","10","0.28%","1.27%","786","1.48%"
"Total Reported","49,484","100%","93.24%","3,585","100%","6.76%","53,069","100%"
"Not Reported","32",,,"1",,,"33",
"Grand Total","49,516",,,"3,586",,,"53,102",
