"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"15","1","0.01%","100.0%","","","","1","0.01%"
"16","4","0.03%","100.0%","","","","4","0.03%"
"17","58","0.48%","92.06%","5","0.31%","7.94%","63","0.46%"
"18","160","1.32%","96.97%","5","0.31%","3.03%","165","1.2%"
"19","208","1.72%","97.2%","6","0.37%","2.8%","214","1.56%"
"20","217","1.79%","94.35%","13","0.81%","5.65%","230","1.68%"
"21","290","2.39%","92.36%","24","1.49%","7.64%","314","2.29%"
"22","339","2.8%","94.17%","21","1.31%","5.83%","360","2.62%"
"23","315","2.6%","87.5%","45","2.8%","12.5%","360","2.62%"
"24","351","2.9%","89.09%","43","2.68%","10.91%","394","2.87%"
"25","340","2.81%","89.01%","42","2.62%","10.99%","382","2.78%"
"26","404","3.33%","89.58%","47","2.93%","10.42%","451","3.29%"
"27","380","3.14%","89.83%","43","2.68%","10.17%","423","3.08%"
"28","370","3.05%","88.31%","49","3.05%","11.69%","419","3.05%"
"29","427","3.52%","91.24%","41","2.55%","8.76%","468","3.41%"
"30","414","3.42%","87.34%","60","3.74%","12.66%","474","3.45%"
"31","436","3.6%","87.2%","64","3.99%","12.8%","500","3.64%"
"32","466","3.85%","87.27%","68","4.23%","12.73%","534","3.89%"
"33","416","3.43%","87.39%","60","3.74%","12.61%","476","3.47%"
"34","439","3.62%","87.45%","63","3.92%","12.55%","502","3.66%"
"35","384","3.17%","85.71%","64","3.99%","14.29%","448","3.26%"
"36","377","3.11%","87.07%","56","3.49%","12.93%","433","3.16%"
"37","328","2.71%","85.64%","55","3.42%","14.36%","383","2.79%"
"38","330","2.72%","82.09%","72","4.48%","17.91%","402","2.93%"
"39","333","2.75%","85.82%","55","3.42%","14.18%","388","2.83%"
"40","332","2.74%","86.23%","53","3.3%","13.77%","385","2.81%"
"41","340","2.81%","86.29%","54","3.36%","13.71%","394","2.87%"
"42","301","2.48%","87.5%","43","2.68%","12.5%","344","2.51%"
"43","272","2.24%","87.18%","40","2.49%","12.82%","312","2.27%"
"44","279","2.3%","88.29%","37","2.3%","11.71%","316","2.3%"
"45","246","2.03%","84.83%","44","2.74%","15.17%","290","2.11%"
"46","217","1.79%","88.57%","28","1.74%","11.43%","245","1.79%"
"47","179","1.48%","84.04%","34","2.12%","15.96%","213","1.55%"
"48","174","1.44%","90.16%","19","1.18%","9.84%","193","1.41%"
"49","176","1.45%","88.0%","24","1.49%","12.0%","200","1.46%"
"50","163","1.35%","84.9%","29","1.81%","15.1%","192","1.4%"
"51","164","1.35%","86.32%","26","1.62%","13.68%","190","1.38%"
"52","171","1.41%","90.48%","18","1.12%","9.52%","189","1.38%"
"53","150","1.24%","89.82%","17","1.06%","10.18%","167","1.22%"
"54","130","1.07%","83.87%","25","1.56%","16.13%","155","1.13%"
"55","113","0.93%","85.61%","19","1.18%","14.39%","132","0.96%"
"56","123","1.02%","91.79%","11","0.68%","8.21%","134","0.98%"
"57","106","0.87%","89.83%","12","0.75%","10.17%","118","0.86%"
"58","106","0.87%","92.17%","9","0.56%","7.83%","115","0.84%"
"59","89","0.73%","89.0%","11","0.68%","11.0%","100","0.73%"
"60","81","0.67%","92.05%","7","0.44%","7.95%","88","0.64%"
"61","74","0.61%","92.5%","6","0.37%","7.5%","80","0.58%"
"62","60","0.5%","86.96%","9","0.56%","13.04%","69","0.5%"
"63","44","0.36%","88.0%","6","0.37%","12.0%","50","0.36%"
"64","41","0.34%","91.11%","4","0.25%","8.89%","45","0.33%"
"65","33","0.27%","86.84%","5","0.31%","13.16%","38","0.28%"
"66","33","0.27%","91.67%","3","0.19%","8.33%","36","0.26%"
"67","28","0.23%","90.32%","3","0.19%","9.68%","31","0.23%"
"68","28","0.23%","96.55%","1","0.06%","3.45%","29","0.21%"
"69","16","0.13%","84.21%","3","0.19%","15.79%","19","0.14%"
"70","18","0.15%","90.0%","2","0.12%","10.0%","20","0.15%"
"71","9","0.07%","90.0%","1","0.06%","10.0%","10","0.07%"
"72","9","0.07%","90.0%","1","0.06%","10.0%","10","0.07%"
"73","1","0.01%","100.0%","","","","1","0.01%"
"74","3","0.02%","100.0%","","","","3","0.02%"
"75","3","0.02%","100.0%","","","","3","0.02%"
"76","3","0.02%","75.0%","1","0.06%","25.0%","4","0.03%"
"77","3","0.02%","100.0%","","","","3","0.02%"
"78","1","0.01%","100.0%","","","","1","0.01%"
"80","5","0.04%","100.0%","","","","5","0.04%"
"81","3","0.02%","100.0%","","","","3","0.02%"
"82","1","0.01%","100.0%","","","","1","0.01%"
"83","1","0.01%","100.0%","","","","1","0.01%"
"84","1","0.01%","100.0%","","","","1","0.01%"
"87","1","0.01%","100.0%","","","","1","0.01%"
"Total Reported","12,118","100.00%","88.30%","1,606","100.00%","11.70%","13,724","100.00%"
"Not Reported","0","","","0","","","0",""
"Grand Total","12,118","","","1,606","","","13,724",""
