"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","420","0.83%","92.31%","35","0.93%","7.69%","455","0.84%"
"1.1 - 2","663","1.31%","91.20%","64","1.71%","8.80%","727","1.34%"
"2.1 - 3","979","1.94%","88.92%","122","3.25%","11.08%","1,101","2.03%"
"3.1 - 4","881","1.75%","90.17%","96","2.56%","9.83%","977","1.80%"
"4.1 - 5","1,976","3.92%","89.33%","236","6.30%","10.67%","2,212","4.08%"
"5.1 - 6","1,129","2.24%","89.96%","126","3.36%","10.04%","1,255","2.31%"
"6.1 - 7","1,103","2.19%","90.93%","110","2.93%","9.07%","1,213","2.24%"
"7.1 - 8","1,224","2.43%","91.89%","108","2.88%","8.11%","1,332","2.46%"
"8.1 - 9","1,237","2.45%","93.57%","85","2.27%","6.43%","1,322","2.44%"
"9.1 - 10","4,355","8.63%","90.05%","481","12.83%","9.95%","4,836","8.92%"
"10.1 - 12","2,556","5.06%","91.65%","233","6.21%","8.35%","2,789","5.14%"
"12.1 - 15","5,285","10.47%","92.57%","424","11.31%","7.43%","5,709","10.53%"
"15.1 - 20","9,619","19.06%","93.73%","643","17.15%","6.27%","10,262","18.93%"
"20.1 - Over","10,430","20.67%","94.82%","570","15.20%","5.18%","11,000","20.29%"
"Life","7,166","14.20%","95.10%","369","9.84%","4.90%","7,535","13.90%"
"Life Without Parole","1,212","2.40%","96.42%","45","1.20%","3.58%","1,257","2.32%"
"Death","137","0.27%","100.00%","0","0.00%","0.00%","137","0.25%"
"Youthful Offenders","97","0.19%","97.98%","2","0.05%","2.02%","99","0.18%"
"Total Reported","50,469","100%","93.09%","3,749","100%","6.91%","54,218","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,469","","","3,749","","","54,218",""
