"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,497","2.99%","86.98%","224","5.99%","13.02%","1,721","3.19%"
"1.1 - 2","3,729","7.44%","87.07%","554","14.81%","12.93%","4,283","7.95%"
"2.1 - 3","3,963","7.90%","88.94%","493","13.18%","11.06%","4,456","8.27%"
"3.1 - 4","2,902","5.79%","90.32%","311","8.32%","9.68%","3,213","5.96%"
"4.1 - 5","5,222","10.41%","91.25%","501","13.40%","8.75%","5,723","10.62%"
"5.1 - 6","2,066","4.12%","92.44%","169","4.52%","7.56%","2,235","4.15%"
"6.1 - 7","1,968","3.92%","93.63%","134","3.58%","6.37%","2,102","3.90%"
"7.1 - 8","1,855","3.70%","93.50%","129","3.45%","6.50%","1,984","3.68%"
"8.1 - 9","729","1.45%","94.06%","46","1.23%","5.94%","775","1.44%"
"9.1 - 10","6,197","12.36%","94.22%","380","10.16%","5.78%","6,577","12.21%"
"10.1 - 12","2,460","4.91%","95.42%","118","3.16%","4.58%","2,578","4.78%"
"12.1 - 15","3,807","7.59%","96.11%","154","4.12%","3.89%","3,961","7.35%"
"15.1 - 20","3,689","7.36%","96.44%","136","3.64%","3.56%","3,825","7.10%"
"20.1 - Over","2,939","5.86%","97.29%","82","2.19%","2.71%","3,021","5.61%"
"Life","6,485","12.93%","95.59%","299","7.99%","4.41%","6,784","12.59%"
"Life Without Parole","524","1.05%","98.31%","9","0.24%","1.69%","533","0.99%"
"Death","107","0.21%","99.07%","1","0.03%","0.93%","108","0.20%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","50,142","100%","93.06%","3,740","100.0%","6.94%","53,882","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,142","","","3,740","","","53,882",""
