"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","3,521","6.60%","89.07%","432","11.00%","10.93%","3,953","6.90%"
"1.1 - 2","4,517","8.46%","89.55%","527","13.42%","10.45%","5,044","8.80%"
"2.1 - 3","4,332","8.12%","88.81%","546","13.90%","11.19%","4,878","8.51%"
"3.1 - 4","3,460","6.48%","91.49%","322","8.20%","8.51%","3,782","6.60%"
"4.1 - 5","4,904","9.19%","90.95%","488","12.42%","9.05%","5,392","9.41%"
"5.1 - 6","1,888","3.54%","92.23%","159","4.05%","7.77%","2,047","3.57%"
"6.1 - 7","1,968","3.69%","92.79%","153","3.90%","7.21%","2,121","3.70%"
"7.1 - 8","1,705","3.19%","93.89%","111","2.83%","6.11%","1,816","3.17%"
"8.1 - 9","2,472","4.63%","95.85%","107","2.72%","4.15%","2,579","4.50%"
"9.1 - 10","4,339","8.13%","94.00%","277","7.05%","6.00%","4,616","8.06%"
"10.1 - 12","2,131","3.99%","95.65%","97","2.47%","4.35%","2,228","3.89%"
"12.1 - 15","3,685","6.91%","96.24%","144","3.67%","3.76%","3,829","6.68%"
"15.1 - 20","3,728","6.99%","96.23%","146","3.72%","3.77%","3,874","6.76%"
"20.1 - Over","3,076","5.76%","97.37%","83","2.11%","2.63%","3,159","5.51%"
"Life","6,830","12.80%","95.51%","321","8.17%","4.49%","7,151","12.48%"
"Life Without Parole","713","1.34%","98.07%","14","0.36%","1.93%","727","1.27%"
"Death","95","0.18%","98.96%","1","0.03%","1.04%","96","0.17%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","53,367","100%","93.14%","3,928","100.0%","6.86%","57,295","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","53,367","","","3,928","","","57,295",""
