"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,183","2.41%","86.16%","190","5.15%","13.84%","1,373","2.60%"
"1.1 - 2","3,298","6.73%","86.09%","533","14.44%","13.91%","3,831","7.27%"
"2.1 - 3","3,864","7.88%","88.52%","501","13.57%","11.48%","4,365","8.28%"
"3.1 - 4","2,858","5.83%","89.37%","340","9.21%","10.63%","3,198","6.07%"
"4.1 - 5","5,379","10.97%","91.51%","499","13.52%","8.49%","5,878","11.15%"
"5.1 - 6","1,995","4.07%","92.23%","168","4.55%","7.77%","2,163","4.10%"
"6.1 - 7","1,983","4.04%","93.76%","132","3.58%","6.24%","2,115","4.01%"
"7.1 - 8","1,845","3.76%","93.80%","122","3.30%","6.20%","1,967","3.73%"
"8.1 - 9","686","1.40%","93.46%","48","1.30%","6.54%","734","1.39%"
"9.1 - 10","6,188","12.62%","94.31%","373","10.10%","5.69%","6,561","12.45%"
"10.1 - 12","2,482","5.06%","95.28%","123","3.33%","4.72%","2,605","4.94%"
"12.1 - 15","3,731","7.61%","96.04%","154","4.17%","3.96%","3,885","7.37%"
"15.1 - 20","3,644","7.43%","96.61%","128","3.47%","3.39%","3,772","7.15%"
"20.1 - Over","2,888","5.89%","97.30%","80","2.17%","2.70%","2,968","5.63%"
"Life","6,404","13.06%","95.65%","291","7.88%","4.35%","6,695","12.70%"
"Life Without Parole","493","1.01%","98.21%","9","0.24%","1.79%","502","0.95%"
"Death","103","0.21%","99.04%","1","0.03%","0.96%","104","0.20%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","49,027","100%","93.00%","3,692","100.0%","7.00%","52,719","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,027","","","3,692","","","52,719",""
