"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,241","2.71%","91.59%","114","3.94%","8.41%","1,355","2.78%"
"1.1 - 2","3,551","7.74%","90.70%","364","12.58%","9.30%","3,915","8.03%"
"2.1 - 3","3,472","7.57%","89.55%","405","14.00%","10.45%","3,877","7.95%"
"3.1 - 4","2,553","5.57%","91.51%","237","8.19%","8.49%","2,790","5.72%"
"4.1 - 5","4,626","10.09%","92.71%","364","12.58%","7.29%","4,990","10.24%"
"5.1 - 6","1,910","4.17%","93.63%","130","4.49%","6.37%","2,040","4.18%"
"6.1 - 7","1,906","4.16%","94.92%","102","3.53%","5.08%","2,008","4.12%"
"7.1 - 8","1,793","3.91%","94.02%","114","3.94%","5.98%","1,907","3.91%"
"8.1 - 9","751","1.64%","93.88%","49","1.69%","6.13%","800","1.64%"
"9.1 - 10","5,822","12.70%","95.18%","295","10.20%","4.82%","6,117","12.55%"
"10.1 - 12","2,240","4.88%","95.12%","115","3.98%","4.88%","2,355","4.83%"
"12.1 - 15","3,392","7.40%","96.15%","136","4.70%","3.85%","3,528","7.24%"
"15.1 - 20","3,375","7.36%","96.26%","131","4.53%","3.74%","3,506","7.19%"
"20.1 - Over","2,665","5.81%","97.73%","62","2.14%","2.27%","2,727","5.59%"
"Life","6,049","13.19%","95.76%","268","9.26%","4.24%","6,317","12.96%"
"Life Without Parole","405","0.88%","98.54%","6","0.21%","1.46%","411","0.84%"
"Death","101","0.22%","99.02%","1","0.03%","0.98%","102","0.21%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"blank","1","0.01%","100.00%","0","0.00%","0.00%","1","0.01%"
"Total Reported","45,856","100%","94.07%","2,893","100%","5.93%","48,749","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","45,856","","","2,893","","","48,749",""
