"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","543","1.05%","92.66%","43","1.06%","7.34%","586","1.05%"
"1.1 - 2","819","1.58%","89.61%","95","2.34%","10.39%","914","1.64%"
"2.1 - 3","1,245","2.40%","86.70%","191","4.70%","13.30%","1,436","2.57%"
"3.1 - 4","1,041","2.01%","88.97%","129","3.18%","11.03%","1,170","2.10%"
"4.1 - 5","1,953","3.77%","89.83%","221","5.44%","10.17%","2,174","3.89%"
"5.1 - 6","1,148","2.22%","89.27%","138","3.40%","10.73%","1,286","2.30%"
"6.1 - 7","1,098","2.12%","90.67%","113","2.78%","9.33%","1,211","2.17%"
"7.1 - 8","1,174","2.27%","92.51%","95","2.34%","7.49%","1,269","2.27%"
"8.1 - 9","1,279","2.47%","93.49%","89","2.19%","6.51%","1,368","2.45%"
"9.1 - 10","3,589","6.93%","89.55%","419","10.32%","10.45%","4,008","7.18%"
"10.1 - 12","2,248","4.34%","90.75%","229","5.64%","9.25%","2,477","4.44%"
"12.1 - 15","5,019","9.69%","91.89%","443","10.91%","8.11%","5,462","9.78%"
"15.1 - 20","9,564","18.47%","93.14%","704","17.34%","6.86%","10,268","18.39%"
"20.1 - Over","11,919","23.02%","94.38%","710","17.48%","5.62%","12,629","22.62%"
"Life","7,414","14.32%","95.14%","379","9.33%","4.86%","7,793","13.96%"
"Life Without Parole","1,570","3.03%","96.44%","58","1.43%","3.56%","1,628","2.92%"
"Death","82","0.16%","98.80%","1","0.02%","1.20%","83","0.15%"
"Youthful Offenders","68","0.13%","94.44%","4","0.10%","5.56%","72","0.13%"
"Total Reported","51,773","100%","92.73%","4,061","100%","7.27%","55,834","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,773","","","4,061","","","55,834",""
