"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","444","1.02%","92.89%","34","1.12%","7.11%","478","1.02%"
"1.1 - 2","559","1.28%","92.09%","48","1.59%","7.91%","607","1.30%"
"2.1 - 3","860","1.97%","89.96%","96","3.17%","10.04%","956","2.05%"
"3.1 - 4","766","1.75%","93.19%","56","1.85%","6.81%","822","1.76%"
"4.1 - 5","1,352","3.09%","91.35%","128","4.23%","8.65%","1,480","3.17%"
"5.1 - 6","829","1.90%","91.30%","79","2.61%","8.70%","908","1.94%"
"6.1 - 7","794","1.82%","92.11%","68","2.25%","7.89%","862","1.84%"
"7.1 - 8","928","2.12%","90.80%","94","3.10%","9.20%","1,022","2.19%"
"8.1 - 9","989","2.26%","94.82%","54","1.78%","5.18%","1,043","2.23%"
"9.1 - 10","2,446","5.60%","90.76%","249","8.22%","9.24%","2,695","5.77%"
"10.1 - 12","1,612","3.69%","91.54%","149","4.92%","8.46%","1,761","3.77%"
"12.1 - 15","3,793","8.68%","92.63%","302","9.97%","7.37%","4,095","8.76%"
"15.1 - 20","8,155","18.65%","93.20%","595","19.65%","6.80%","8,750","18.72%"
"20.1 - Over","11,302","25.85%","94.58%","648","21.40%","5.42%","11,950","25.57%"
"Life","7,176","16.42%","95.12%","368","12.15%","4.88%","7,544","16.14%"
"Life Without Parole","1,651","3.78%","96.61%","58","1.92%","3.39%","1,709","3.66%"
"Death","37","0.08%","97.37%","1","0.03%","2.63%","38","0.08%"
"Youthful Offenders","22","0.05%","95.65%","1","0.03%","4.35%","23","0.05%"
"Total Reported","43,715","100%","93.52%","3,028","100%","6.48%","46,743","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","43,715","","","3,028","","","46,743",""
