"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","462","1.06%","93.52%","32","1.06%","6.48%","494","1.06%"
"1.1 - 2","557","1.28%","92.07%","48","1.59%","7.93%","605","1.30%"
"2.1 - 3","850","1.95%","90.14%","93","3.09%","9.86%","943","2.02%"
"3.1 - 4","783","1.79%","92.55%","63","2.09%","7.45%","846","1.81%"
"4.1 - 5","1,352","3.10%","90.98%","134","4.45%","9.02%","1,486","3.18%"
"5.1 - 6","820","1.88%","91.11%","80","2.65%","8.89%","900","1.93%"
"6.1 - 7","781","1.79%","91.99%","68","2.26%","8.01%","849","1.82%"
"7.1 - 8","909","2.08%","90.72%","93","3.09%","9.28%","1,002","2.15%"
"8.1 - 9","989","2.27%","94.64%","56","1.86%","5.36%","1,045","2.24%"
"9.1 - 10","2,453","5.62%","90.95%","244","8.10%","9.05%","2,697","5.78%"
"10.1 - 12","1,578","3.61%","91.53%","146","4.84%","8.47%","1,724","3.69%"
"12.1 - 15","3,803","8.71%","92.67%","301","9.99%","7.33%","4,104","8.79%"
"15.1 - 20","8,162","18.70%","93.37%","580","19.24%","6.63%","8,742","18.73%"
"20.1 - Over","11,287","25.85%","94.55%","650","21.57%","5.45%","11,937","25.58%"
"Life","7,168","16.42%","95.14%","366","12.14%","4.86%","7,534","16.14%"
"Life Without Parole","1,640","3.76%","96.58%","58","1.92%","3.42%","1,698","3.64%"
"Death","37","0.08%","97.37%","1","0.03%","2.63%","38","0.08%"
"Youthful Offenders","24","0.05%","96.00%","1","0.03%","4.00%","25","0.05%"
"Total Reported","43,655","100%","93.54%","3,014","100%","6.46%","46,669","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","43,655","","","3,014","","","46,669",""
