"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,786","3.37%","92.68%","141","3.60%","7.32%","1,927","3.39%"
"1.1 - 2","3,285","6.20%","89.85%","371","9.48%","10.15%","3,656","6.42%"
"2.1 - 3","3,941","7.44%","89.06%","484","12.37%","10.94%","4,425","7.77%"
"3.1 - 4","3,042","5.74%","89.50%","357","9.13%","10.50%","3,399","5.97%"
"4.1 - 5","5,439","10.26%","90.97%","540","13.80%","9.03%","5,979","10.51%"
"5.1 - 6","2,407","4.54%","90.59%","250","6.39%","9.41%","2,657","4.67%"
"6.1 - 7","2,348","4.43%","91.86%","208","5.32%","8.14%","2,556","4.49%"
"7.1 - 8","2,093","3.95%","92.08%","180","4.60%","7.92%","2,273","3.99%"
"8.1 - 9","1,299","2.45%","93.25%","94","2.40%","6.75%","1,393","2.45%"
"9.1 - 10","5,895","11.12%","93.97%","378","9.66%","6.03%","6,273","11.02%"
"10.1 - 12","2,658","5.01%","94.69%","149","3.81%","5.31%","2,807","4.93%"
"12.1 - 15","3,976","7.50%","95.65%","181","4.63%","4.35%","4,157","7.30%"
"15.1 - 20","3,937","7.43%","96.26%","153","3.91%","3.74%","4,090","7.19%"
"20.1 - Over","3,283","6.19%","97.27%","92","2.35%","2.73%","3,375","5.93%"
"Life","6,809","12.85%","95.51%","320","8.18%","4.49%","7,129","12.53%"
"Life Without Parole","706","1.33%","98.19%","13","0.33%","1.81%","719","1.26%"
"Death","95","0.18%","98.96%","1","0.03%","1.04%","96","0.17%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","53,002","100%","93.13%","3,912","100%","6.87%","56,914","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","53,002","","","3,912","","","56,914",""
