"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,815","3.85%","89.36%","216","6.43%","10.64%","2,031","4.03%"
"1.1 - 2","3,518","7.47%","88.53%","456","13.57%","11.47%","3,974","7.88%"
"2.1 - 3","3,615","7.68%","88.21%","483","14.38%","11.79%","4,098","8.12%"
"3.1 - 4","2,677","5.68%","90.13%","293","8.72%","9.87%","2,970","5.89%"
"4.1 - 5","4,723","10.03%","91.50%","439","13.07%","8.50%","5,162","10.23%"
"5.1 - 6","1,982","4.21%","93.18%","145","4.32%","6.82%","2,127","4.22%"
"6.1 - 7","1,937","4.11%","93.76%","129","3.84%","6.24%","2,066","4.09%"
"7.1 - 8","1,810","3.84%","93.69%","122","3.63%","6.31%","1,932","3.83%"
"8.1 - 9","768","1.63%","93.66%","52","1.55%","6.34%","820","1.63%"
"9.1 - 10","5,924","12.58%","95.09%","306","9.11%","4.91%","6,230","12.35%"
"10.1 - 12","2,243","4.76%","95.12%","115","3.42%","4.88%","2,358","4.67%"
"12.1 - 15","3,412","7.24%","96.06%","140","4.17%","3.94%","3,552","7.04%"
"15.1 - 20","3,404","7.23%","96.49%","124","3.69%","3.51%","3,528","6.99%"
"20.1 - Over","2,663","5.65%","97.72%","62","1.85%","2.28%","2,725","5.40%"
"Life","6,089","12.93%","95.74%","271","8.07%","4.26%","6,360","12.60%"
"Life Without Parole","415","0.88%","98.57%","6","0.18%","1.43%","421","0.83%"
"Death","98","0.21%","98.99%","1","0.03%","1.01%","99","0.20%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"blank","1","0.01%","100.00%","0","0.00%","0.00%","1","0.01%"
"Total Reported","47,097","100%","93.34%","3,360","100.0%","6.66%","50,457","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","47,097","","","3,360","","","50,457",""
