"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","471","0.94%","92.90%","36","0.97%","7.10%","507","0.95%"
"1.1 - 2","742","1.49%","91.72%","67","1.80%","8.28%","809","1.51%"
"2.1 - 3","1,139","2.28%","86.55%","177","4.75%","13.45%","1,316","2.45%"
"3.1 - 4","943","1.89%","90.59%","98","2.63%","9.41%","1,041","1.94%"
"4.1 - 5","1,764","3.53%","89.86%","199","5.34%","10.14%","1,963","3.66%"
"5.1 - 6","1,057","2.12%","90.26%","114","3.06%","9.74%","1,171","2.18%"
"6.1 - 7","992","1.99%","91.77%","89","2.39%","8.23%","1,081","2.01%"
"7.1 - 8","1,082","2.17%","92.40%","89","2.39%","7.60%","1,171","2.18%"
"8.1 - 9","1,158","2.32%","93.39%","82","2.20%","6.61%","1,240","2.31%"
"9.1 - 10","3,365","6.74%","89.69%","387","10.38%","10.31%","3,752","6.99%"
"10.1 - 12","2,086","4.18%","91.13%","203","5.45%","8.87%","2,289","4.27%"
"12.1 - 15","4,834","9.68%","92.62%","385","10.33%","7.38%","5,219","9.73%"
"15.1 - 20","9,285","18.60%","93.32%","665","17.84%","6.68%","9,950","18.55%"
"20.1 - Over","11,854","23.75%","94.46%","695","18.65%","5.54%","12,549","23.39%"
"Life","7,420","14.86%","95.14%","379","10.17%","4.86%","7,799","14.54%"
"Life Without Parole","1,601","3.21%","96.50%","58","1.56%","3.50%","1,659","3.09%"
"Death","77","0.15%","98.72%","1","0.03%","1.28%","78","0.15%"
"Youthful Offenders","51","0.10%","94.44%","3","0.08%","5.56%","54","0.10%"
"Total Reported","49,921","100%","93.05%","3,727","100.0%","6.95%","53,648","100%"
