"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","2,241","4.58%","88.82%","282","7.90%","11.18%","2,523","4.81%"
"1.1 - 2","3,772","7.72%","87.86%","521","14.60%","12.14%","4,293","8.18%"
"2.1 - 3","3,881","7.94%","89.16%","472","13.23%","10.84%","4,353","8.30%"
"3.1 - 4","2,801","5.73%","90.56%","292","8.18%","9.44%","3,093","5.90%"
"4.1 - 5","4,922","10.07%","91.52%","456","12.78%","8.48%","5,378","10.25%"
"5.1 - 6","2,059","4.21%","92.79%","160","4.48%","7.21%","2,219","4.23%"
"6.1 - 7","1,985","4.06%","93.76%","132","3.70%","6.24%","2,117","4.04%"
"7.1 - 8","1,812","3.71%","94.03%","115","3.22%","5.97%","1,927","3.67%"
"8.1 - 9","748","1.53%","93.15%","55","1.54%","6.85%","803","1.53%"
"9.1 - 10","6,145","12.57%","94.73%","342","9.59%","5.27%","6,487","12.37%"
"10.1 - 12","2,307","4.72%","95.33%","113","3.17%","4.67%","2,420","4.61%"
"12.1 - 15","3,441","7.04%","95.80%","151","4.23%","4.20%","3,592","6.85%"
"15.1 - 20","3,425","7.01%","96.51%","124","3.48%","3.49%","3,549","6.77%"
"20.1 - Over","2,703","5.53%","97.62%","66","1.85%","2.38%","2,769","5.28%"
"Life","6,118","12.51%","95.62%","280","7.85%","4.38%","6,398","12.20%"
"Life Without Parole","428","0.88%","98.62%","6","0.17%","1.38%","434","0.83%"
"Death","98","0.20%","98.99%","1","0.03%","1.01%","99","0.19%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","48,889","100%","93.20%","3,568","100%","6.80%","52,457","100.0%"
