"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","533","1.04%","91.11%","52","1.29%","8.89%","585","1.06%"
"1.1 - 2","805","1.57%","89.74%","92","2.29%","10.26%","897","1.62%"
"2.1 - 3","1,190","2.32%","86.99%","178","4.42%","13.01%","1,368","2.47%"
"3.1 - 4","1,010","1.97%","88.29%","134","3.33%","11.71%","1,144","2.06%"
"4.1 - 5","1,929","3.75%","89.35%","230","5.72%","10.65%","2,159","3.90%"
"5.1 - 6","1,160","2.26%","90.06%","128","3.18%","9.94%","1,288","2.32%"
"6.1 - 7","1,099","2.14%","91.20%","106","2.63%","8.80%","1,205","2.18%"
"7.1 - 8","1,148","2.23%","91.55%","106","2.63%","8.45%","1,254","2.26%"
"8.1 - 9","1,273","2.48%","93.74%","85","2.11%","6.26%","1,358","2.45%"
"9.1 - 10","3,573","6.95%","89.46%","421","10.46%","10.54%","3,994","7.21%"
"10.1 - 12","2,265","4.41%","91.00%","224","5.57%","9.00%","2,489","4.49%"
"12.1 - 15","5,035","9.80%","92.30%","420","10.44%","7.70%","5,455","9.85%"
"15.1 - 20","9,491","18.47%","93.07%","707","17.57%","6.93%","10,198","18.41%"
"20.1 - Over","11,754","22.88%","94.31%","709","17.62%","5.69%","12,463","22.50%"
"Life","7,404","14.41%","95.20%","373","9.27%","4.80%","7,777","14.04%"
"Life Without Parole","1,552","3.02%","96.52%","56","1.39%","3.48%","1,608","2.90%"
"Death","84","0.16%","98.82%","1","0.02%","1.18%","85","0.15%"
"Youthful Offenders","71","0.14%","97.26%","2","0.05%","2.74%","73","0.13%"
"Total Reported","51,376","100%","92.74%","4,024","100%","7.26%","55,400","100%"
