"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,580","2.96%","91.17%","153","3.95%","8.83%","1,733","3.03%"
"1.1 - 2","3,345","6.27%","91.07%","328","8.47%","8.93%","3,673","6.42%"
"2.1 - 3","3,937","7.38%","89.19%","477","12.32%","10.81%","4,414","7.71%"
"3.1 - 4","3,195","5.99%","90.82%","323","8.34%","9.18%","3,518","6.15%"
"4.1 - 5","5,266","9.87%","91.23%","506","13.07%","8.77%","5,772","10.08%"
"5.1 - 6","2,397","4.49%","90.25%","259","6.69%","9.75%","2,656","4.64%"
"6.1 - 7","2,314","4.34%","91.90%","204","5.27%","8.10%","2,518","4.40%"
"7.1 - 8","2,126","3.98%","92.11%","182","4.70%","7.89%","2,308","4.03%"
"8.1 - 9","1,486","2.78%","93.34%","106","2.74%","6.66%","1,592","2.78%"
"9.1 - 10","5,855","10.97%","93.89%","381","9.84%","6.11%","6,236","10.89%"
"10.1 - 12","2,776","5.20%","94.65%","157","4.06%","5.35%","2,933","5.12%"
"12.1 - 15","4,006","7.51%","95.45%","191","4.93%","4.55%","4,197","7.33%"
"15.1 - 20","3,953","7.41%","95.88%","170","4.39%","4.12%","4,123","7.20%"
"20.1 - Over","3,372","6.32%","97.32%","93","2.40%","2.68%","3,465","6.05%"
"Life","6,905","12.94%","95.54%","322","8.32%","4.46%","7,227","12.62%"
"Life Without Parole","764","1.43%","97.70%","18","0.46%","2.30%","782","1.37%"
"Death","94","0.18%","98.95%","1","0.03%","1.05%","95","0.17%"
"Youthful Offenders","2","0.01%","100.00%","0","0.00%","0.00%","2","0.01%"
"Total Reported","53,373","100%","93.24%","3,871","100%","6.76%","57,244","100%"
