"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,307","2.58%","88.61%","168","4.69%","11.39%","1,475","2.72%"
"1.1 - 2","3,881","7.66%","89.10%","475","13.25%","10.90%","4,356","8.02%"
"2.1 - 3","4,289","8.46%","88.96%","532","14.84%","11.04%","4,821","8.88%"
"3.1 - 4","2,993","5.90%","90.75%","305","8.51%","9.25%","3,298","6.08%"
"4.1 - 5","5,536","10.92%","91.78%","496","13.84%","8.22%","6,032","11.11%"
"5.1 - 6","2,161","4.26%","92.35%","179","4.99%","7.65%","2,340","4.31%"
"6.1 - 7","2,051","4.05%","94.21%","126","3.52%","5.79%","2,177","4.01%"
"7.1 - 8","1,932","3.81%","93.83%","127","3.54%","6.17%","2,059","3.79%"
"8.1 - 9","719","1.42%","93.99%","46","1.28%","6.01%","765","1.41%"
"9.1 - 10","6,316","12.46%","94.57%","363","10.13%","5.43%","6,679","12.30%"
"10.1 - 12","2,568","5.07%","95.46%","122","3.40%","4.54%","2,690","4.96%"
"12.1 - 15","3,624","7.15%","96.05%","149","4.16%","3.95%","3,773","6.95%"
"15.1 - 20","3,581","7.06%","96.55%","128","3.57%","3.45%","3,709","6.83%"
"20.1 - Over","2,837","5.60%","97.49%","73","2.04%","2.51%","2,910","5.36%"
"Life","6,320","12.47%","95.64%","288","8.04%","4.36%","6,608","12.17%"
"Life Without Parole","476","0.94%","98.76%","6","0.17%","1.24%","482","0.89%"
"Death","103","0.20%","99.04%","1","0.03%","0.96%","104","0.19%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","50,697","100%","93.40%","3,584","100%","6.60%","54,281","100%"
