"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","525","1.03%","89.90%","59","1.48%","10.10%","584","1.06%"
"1.1 - 2","793","1.55%","90.22%","86","2.16%","9.78%","879","1.60%"
"2.1 - 3","1,102","2.16%","86.84%","167","4.19%","13.16%","1,269","2.30%"
"3.1 - 4","925","1.81%","87.76%","129","3.24%","12.24%","1,054","1.91%"
"4.1 - 5","1,916","3.75%","89.12%","234","5.87%","10.88%","2,150","3.90%"
"5.1 - 6","1,102","2.16%","89.81%","125","3.14%","10.19%","1,227","2.23%"
"6.1 - 7","1,085","2.12%","91.10%","106","2.66%","8.90%","1,191","2.16%"
"7.1 - 8","1,177","2.30%","91.67%","107","2.69%","8.33%","1,284","2.33%"
"8.1 - 9","1,249","2.44%","93.00%","94","2.36%","7.00%","1,343","2.44%"
"9.1 - 10","3,676","7.19%","89.88%","414","10.39%","10.12%","4,090","7.42%"
"10.1 - 12","2,292","4.48%","90.81%","232","5.82%","9.19%","2,524","4.58%"
"12.1 - 15","5,111","10.00%","92.42%","419","10.52%","7.58%","5,530","10.04%"
"15.1 - 20","9,467","18.52%","93.25%","685","17.20%","6.75%","10,152","18.42%"
"20.1 - Over","11,603","22.70%","94.37%","692","17.37%","5.63%","12,295","22.31%"
"Life","7,431","14.54%","95.21%","374","9.39%","4.79%","7,805","14.16%"
"Life Without Parole","1,518","2.97%","96.50%","55","1.38%","3.50%","1,573","2.85%"
"Death","87","0.17%","98.86%","1","0.03%","1.14%","88","0.16%"
"Youthful Offenders","65","0.13%","94.20%","4","0.10%","5.80%","69","0.13%"
"Total Reported","51,124","100%","92.77%","3,983","100%","7.23%","55,107","100%"
