"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","527","1.03%","91.02%","52","1.32%","8.98%","579","1.05%"
"1.1 - 2","802","1.57%","90.32%","86","2.18%","9.68%","888","1.61%"
"2.1 - 3","1,099","2.15%","87.29%","160","4.06%","12.71%","1,259","2.29%"
"3.1 - 4","920","1.80%","87.54%","131","3.32%","12.46%","1,051","1.91%"
"4.1 - 5","1,922","3.76%","89.23%","232","5.89%","10.77%","2,154","3.91%"
"5.1 - 6","1,095","2.14%","90.12%","120","3.04%","9.88%","1,215","2.21%"
"6.1 - 7","1,097","2.15%","91.19%","106","2.69%","8.81%","1,203","2.19%"
"7.1 - 8","1,149","2.25%","91.70%","104","2.64%","8.30%","1,253","2.28%"
"8.1 - 9","1,281","2.51%","92.83%","99","2.51%","7.17%","1,380","2.51%"
"9.1 - 10","3,668","7.18%","89.84%","415","10.53%","10.16%","4,083","7.42%"
"10.1 - 12","2,311","4.52%","91.02%","228","5.79%","8.98%","2,539","4.61%"
"12.1 - 15","5,119","10.02%","92.52%","414","10.50%","7.48%","5,533","10.05%"
"15.1 - 20","9,479","18.55%","93.34%","676","17.15%","6.66%","10,155","18.45%"
"20.1 - Over","11,555","22.61%","94.42%","683","17.33%","5.58%","12,238","22.23%"
"Life","7,424","14.53%","95.18%","376","9.54%","4.82%","7,800","14.17%"
"Life Without Parole","1,504","2.94%","96.47%","55","1.40%","3.53%","1,559","2.83%"
"Death","89","0.17%","100.00%","0","0.00%","0.00%","89","0.16%"
"Youthful Offenders","68","0.13%","94.44%","4","0.10%","5.56%","72","0.13%"
"Total Reported","51,109","100%","92.84%","3,941","100%","7.16%","55,050","100.0%"
