"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","4,057","7.97%","94.50%","236","6.02%","5.50%","4,293","7.83%"
"1.1 - 2","929","1.83%","91.71%","84","2.14%","8.29%","1,013","1.85%"
"2.1 - 3","1,240","2.44%","88.32%","164","4.18%","11.68%","1,404","2.56%"
"3.1 - 4","1,084","2.13%","91.48%","101","2.58%","8.52%","1,185","2.16%"
"4.1 - 5","2,216","4.35%","89.94%","248","6.32%","10.06%","2,464","4.50%"
"5.1 - 6","1,185","2.33%","89.57%","138","3.52%","10.43%","1,323","2.41%"
"6.1 - 7","1,273","2.50%","91.71%","115","2.93%","8.29%","1,388","2.53%"
"7.1 - 8","1,264","2.48%","91.86%","112","2.86%","8.14%","1,376","2.51%"
"8.1 - 9","1,335","2.62%","93.68%","90","2.30%","6.32%","1,425","2.60%"
"9.1 - 10","4,001","7.86%","90.46%","422","10.76%","9.54%","4,423","8.07%"
"10.1 - 12","2,403","4.72%","90.71%","246","6.27%","9.29%","2,649","4.83%"
"12.1 - 15","5,262","10.34%","92.15%","448","11.43%","7.85%","5,710","10.42%"
"15.1 - 20","9,745","19.15%","93.59%","667","17.01%","6.41%","10,412","18.99%"
"20.1 - Over","10,990","21.59%","94.44%","647","16.50%","5.56%","11,637","21.23%"
"Life","3,044","5.98%","94.83%","166","4.23%","5.17%","3,210","5.86%"
"Life Without Parole","683","1.34%","95.26%","34","0.87%","4.74%","717","1.31%"
"Death","93","0.18%","98.94%","1","0.03%","1.06%","94","0.17%"
"Youthful Offenders","90","0.18%","97.83%","2","0.05%","2.17%","92","0.17%"
"Total Reported","50,894","100%","92.85%","3,921","100%","7.15%","54,815","100%"
