"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","417","0.90%","94.13%","26","0.79%","5.87%","443","0.90%"
"1.1 - 2","598","1.30%","90.88%","60","1.82%","9.12%","658","1.33%"
"2.1 - 3","937","2.03%","88.56%","121","3.68%","11.44%","1,058","2.14%"
"3.1 - 4","813","1.76%","90.94%","81","2.46%","9.06%","894","1.81%"
"4.1 - 5","1,471","3.19%","90.69%","151","4.59%","9.31%","1,622","3.29%"
"5.1 - 6","909","1.97%","90.72%","93","2.83%","9.28%","1,002","2.03%"
"6.1 - 7","869","1.89%","91.86%","77","2.34%","8.14%","946","1.92%"
"7.1 - 8","955","2.07%","92.99%","72","2.19%","7.01%","1,027","2.08%"
"8.1 - 9","994","2.16%","92.90%","76","2.31%","7.10%","1,070","2.17%"
"9.1 - 10","2,875","6.24%","89.62%","333","10.12%","10.38%","3,208","6.50%"
"10.1 - 12","1,853","4.02%","91.64%","169","5.14%","8.36%","2,022","4.10%"
"12.1 - 15","4,285","9.30%","92.63%","341","10.36%","7.37%","4,626","9.37%"
"15.1 - 20","8,688","18.85%","93.57%","597","18.14%","6.43%","9,285","18.81%"
"20.1 - Over","11,410","24.76%","94.48%","666","20.24%","5.52%","12,076","24.46%"
"Life","7,303","15.85%","95.20%","368","11.18%","4.80%","7,671","15.54%"
"Life Without Parole","1,593","3.46%","96.49%","58","1.76%","3.51%","1,651","3.34%"
"Death","75","0.16%","98.68%","1","0.03%","1.32%","76","0.15%"
"Youthful Offenders","35","0.08%","97.22%","1","0.03%","2.78%","36","0.07%"
"Total Reported","46,080","100%","93.33%","3,291","100.0%","6.67%","49,371","100.0%"
