"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","3,294","6.52%","90.72%","337","9.44%","9.28%","3,631","6.71%"
"1.1 - 2","3,860","7.64%","88.88%","483","13.53%","11.12%","4,343","8.03%"
"2.1 - 3","4,019","7.95%","89.67%","463","12.97%","10.33%","4,482","8.28%"
"3.1 - 4","2,725","5.39%","90.86%","274","7.67%","9.14%","2,999","5.54%"
"4.1 - 5","5,075","10.04%","91.76%","456","12.77%","8.24%","5,531","10.22%"
"5.1 - 6","2,008","3.97%","92.49%","163","4.56%","7.51%","2,171","4.01%"
"6.1 - 7","1,928","3.81%","93.91%","125","3.50%","6.09%","2,053","3.79%"
"7.1 - 8","1,840","3.64%","93.69%","124","3.47%","6.31%","1,964","3.63%"
"8.1 - 9","694","1.37%","94.29%","42","1.18%","5.71%","736","1.36%"
"9.1 - 10","6,040","11.95%","94.49%","352","9.86%","5.51%","6,392","11.81%"
"10.1 - 12","2,451","4.85%","95.44%","117","3.28%","4.56%","2,568","4.75%"
"12.1 - 15","3,503","6.93%","96.03%","145","4.06%","3.97%","3,648","6.74%"
"15.1 - 20","3,508","6.94%","96.48%","128","3.58%","3.52%","3,636","6.72%"
"20.1 - Over","2,765","5.47%","97.53%","70","1.96%","2.47%","2,835","5.24%"
"Life","6,257","12.38%","95.64%","285","7.98%","4.36%","6,542","12.09%"
"Life Without Parole","467","0.92%","98.73%","6","0.17%","1.27%","473","0.87%"
"Death","103","0.20%","99.04%","1","0.03%","0.96%","104","0.19%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","50,540","100%","93.40%","3,571","100.0%","6.60%","54,111","100%"
