"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","391","0.79%","93.76%","26","0.72%","6.24%","417","0.79%"
"1.1 - 2","624","1.26%","90.83%","63","1.75%","9.17%","687","1.30%"
"2.1 - 3","954","1.93%","90.08%","105","2.92%","9.92%","1,059","2.00%"
"3.1 - 4","885","1.79%","91.05%","87","2.42%","8.95%","972","1.83%"
"4.1 - 5","1,891","3.83%","90.87%","190","5.29%","9.13%","2,081","3.93%"
"5.1 - 6","1,071","2.17%","89.77%","122","3.40%","10.23%","1,193","2.25%"
"6.1 - 7","1,110","2.25%","91.96%","97","2.70%","8.04%","1,207","2.28%"
"7.1 - 8","1,193","2.42%","92.27%","100","2.78%","7.73%","1,293","2.44%"
"8.1 - 9","1,225","2.48%","93.01%","92","2.56%","6.99%","1,317","2.49%"
"9.1 - 10","4,423","8.96%","90.30%","475","13.22%","9.70%","4,898","9.25%"
"10.1 - 12","2,556","5.18%","91.58%","235","6.54%","8.42%","2,791","5.27%"
"12.1 - 15","5,137","10.40%","91.99%","447","12.44%","8.01%","5,584","10.54%"
"15.1 - 20","9,463","19.16%","93.72%","634","17.65%","6.28%","10,097","19.06%"
"20.1 - Over","9,995","20.24%","95.12%","513","14.28%","4.88%","10,508","19.84%"
"Life","7,095","14.37%","95.11%","365","10.16%","4.89%","7,460","14.08%"
"Life Without Parole","1,135","2.30%","96.76%","38","1.06%","3.24%","1,173","2.21%"
"Death","154","0.31%","100.00%","0","0.00%","0.00%","154","0.29%"
"Youthful Offenders","77","0.16%","95.06%","4","0.11%","4.94%","81","0.15%"
"Total Reported","49,379","100%","93.22%","3,593","100%","6.78%","52,972","100%"
