"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","470","0.93%","93.81%","31","0.86%","6.19%","501","0.92%"
"1.1 - 2","735","1.45%","91.19%","71","1.97%","8.81%","806","1.48%"
"2.1 - 3","921","1.82%","91.64%","84","2.34%","8.36%","1,005","1.85%"
"3.1 - 4","909","1.79%","92.47%","74","2.06%","7.53%","983","1.81%"
"4.1 - 5","2,211","4.36%","90.88%","222","6.17%","9.12%","2,433","4.48%"
"5.1 - 6","1,148","2.26%","90.25%","124","3.45%","9.75%","1,272","2.34%"
"6.1 - 7","1,241","2.45%","91.86%","110","3.06%","8.14%","1,351","2.49%"
"7.1 - 8","1,225","2.41%","91.15%","119","3.31%","8.85%","1,344","2.47%"
"8.1 - 9","1,173","2.31%","92.14%","100","2.78%","7.86%","1,273","2.34%"
"9.1 - 10","5,685","11.21%","90.83%","574","15.96%","9.17%","6,259","11.52%"
"10.1 - 12","2,852","5.62%","91.79%","255","7.09%","8.21%","3,107","5.72%"
"12.1 - 15","5,491","10.82%","92.24%","462","12.85%","7.76%","5,953","10.96%"
"15.1 - 20","9,593","18.91%","94.25%","585","16.27%","5.75%","10,178","18.74%"
"20.1 - Over","9,114","17.97%","95.62%","417","11.60%","4.38%","9,531","17.55%"
"Life","6,940","13.68%","95.32%","341","9.48%","4.68%","7,281","13.40%"
"Life Without Parole","919","1.81%","97.25%","26","0.72%","2.75%","945","1.74%"
"Death","98","0.19%","98.99%","1","0.03%","1.01%","99","0.18%"
"Youthful Offenders","2","0.01%","100.00%","0","0.00%","0.00%","2","0.01%"
"Total Reported","50,727","100%","93.38%","3,596","100%","6.62%","54,323","100%"
