"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","434","0.87%","94.76%","24","0.69%","5.24%","458","0.86%"
"1.1 - 2","648","1.31%","90.00%","72","2.07%","10.00%","720","1.36%"
"2.1 - 3","898","1.81%","90.07%","99","2.85%","9.93%","997","1.88%"
"3.1 - 4","866","1.74%","91.45%","81","2.33%","8.55%","947","1.78%"
"4.1 - 5","2,077","4.18%","91.34%","197","5.67%","8.66%","2,274","4.28%"
"5.1 - 6","1,092","2.20%","89.07%","134","3.86%","10.93%","1,226","2.31%"
"6.1 - 7","1,139","2.29%","92.53%","92","2.65%","7.47%","1,231","2.32%"
"7.1 - 8","1,197","2.41%","91.65%","109","3.14%","8.35%","1,306","2.46%"
"8.1 - 9","1,138","2.29%","92.82%","88","2.53%","7.18%","1,226","2.31%"
"9.1 - 10","5,240","10.55%","90.77%","533","15.33%","9.23%","5,773","10.87%"
"10.1 - 12","2,726","5.49%","92.53%","220","6.33%","7.47%","2,946","5.54%"
"12.1 - 15","5,382","10.84%","92.39%","443","12.74%","7.61%","5,825","10.96%"
"15.1 - 20","9,477","19.09%","94.23%","580","16.69%","5.77%","10,057","18.93%"
"20.1 - Over","9,295","18.72%","95.63%","425","12.23%","4.37%","9,720","18.29%"
"Life","6,986","14.07%","95.23%","350","10.07%","4.77%","7,336","13.81%"
"Life Without Parole","960","1.93%","97.17%","28","0.81%","2.83%","988","1.86%"
"Death","98","0.20%","98.99%","1","0.03%","1.01%","99","0.19%"
"Youthful Offenders","2","0.01%","100.00%","0","0.00%","0.00%","2","0.01%"
"Total Reported","49,655","100%","93.46%","3,476","100.0%","6.54%","53,131","100.0%"
