"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","2,119","4.12%","91.14%","206","5.55%","8.86%","2,325","4.22%"
"1.1 - 2","3,601","7.01%","87.87%","497","13.39%","12.13%","4,098","7.44%"
"2.1 - 3","4,084","7.95%","87.87%","564","15.19%","12.13%","4,648","8.44%"
"3.1 - 4","2,934","5.71%","90.25%","317","8.54%","9.75%","3,251","5.90%"
"4.1 - 5","5,145","10.01%","91.26%","493","13.28%","8.74%","5,638","10.23%"
"5.1 - 6","2,053","4.00%","91.82%","183","4.93%","8.18%","2,236","4.06%"
"6.1 - 7","1,983","3.86%","93.32%","142","3.82%","6.68%","2,125","3.86%"
"7.1 - 8","1,832","3.57%","94.14%","114","3.07%","5.86%","1,946","3.53%"
"8.1 - 9","964","1.88%","94.79%","53","1.43%","5.21%","1,017","1.85%"
"9.1 - 10","5,809","11.31%","94.66%","328","8.83%","5.34%","6,137","11.14%"
"10.1 - 12","2,426","4.72%","95.47%","115","3.10%","4.53%","2,541","4.61%"
"12.1 - 15","3,823","7.44%","96.54%","137","3.69%","3.46%","3,960","7.19%"
"15.1 - 20","3,830","7.45%","96.35%","145","3.91%","3.65%","3,975","7.22%"
"20.1 - Over","3,196","6.22%","97.29%","89","2.40%","2.71%","3,285","5.96%"
"Life","6,816","13.27%","95.57%","316","8.51%","4.43%","7,132","12.95%"
"Life Without Parole","665","1.29%","98.08%","13","0.35%","1.92%","678","1.23%"
"Death","95","0.18%","98.96%","1","0.03%","1.04%","96","0.17%"
"Youthful Offenders","4","0.01%","100.00%","0","0.00%","0.00%","4","0.01%"
"Total Reported","51,379","100%","93.26%","3,713","100.0%","6.74%","55,092","100.0%"
