"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","2,287","4.68%","89.37%","272","7.62%","10.63%","2,559","4.88%"
"1.1 - 2","3,820","7.81%","88.08%","517","14.49%","11.92%","4,337","8.27%"
"2.1 - 3","3,868","7.91%","88.92%","482","13.51%","11.08%","4,350","8.29%"
"3.1 - 4","2,765","5.66%","90.45%","292","8.18%","9.55%","3,057","5.83%"
"4.1 - 5","4,913","10.05%","91.47%","458","12.84%","8.53%","5,371","10.24%"
"5.1 - 6","2,035","4.16%","92.46%","166","4.65%","7.54%","2,201","4.20%"
"6.1 - 7","1,987","4.06%","93.77%","132","3.70%","6.23%","2,119","4.04%"
"7.1 - 8","1,813","3.71%","93.94%","117","3.28%","6.06%","1,930","3.68%"
"8.1 - 9","743","1.52%","93.34%","53","1.49%","6.66%","796","1.52%"
"9.1 - 10","6,126","12.53%","94.82%","335","9.39%","5.18%","6,461","12.32%"
"10.1 - 12","2,299","4.70%","95.20%","116","3.25%","4.80%","2,415","4.60%"
"12.1 - 15","3,445","7.05%","95.85%","149","4.18%","4.15%","3,594","6.85%"
"15.1 - 20","3,420","7.00%","96.53%","123","3.45%","3.47%","3,543","6.75%"
"20.1 - Over","2,701","5.53%","97.58%","67","1.88%","2.42%","2,768","5.28%"
"Life","6,135","12.55%","95.61%","282","7.90%","4.39%","6,417","12.23%"
"Life Without Parole","426","0.87%","98.61%","6","0.17%","1.39%","432","0.82%"
"Death","99","0.20%","99.00%","1","0.03%","1.00%","100","0.19%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","48,885","100%","93.20%","3,568","100.0%","6.80%","52,453","100%"
