"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","3,742","7.54%","91.49%","348","9.90%","8.51%","4,090","7.69%"
"1.1 - 2","3,839","7.73%","88.68%","490","13.94%","11.32%","4,329","8.14%"
"2.1 - 3","3,722","7.50%","89.39%","442","12.57%","10.61%","4,164","7.83%"
"3.1 - 4","2,580","5.20%","90.69%","265","7.54%","9.31%","2,845","5.35%"
"4.1 - 5","4,799","9.66%","91.62%","439","12.49%","8.38%","5,238","9.85%"
"5.1 - 6","1,961","3.95%","92.94%","149","4.24%","7.06%","2,110","3.97%"
"6.1 - 7","1,873","3.77%","93.70%","126","3.58%","6.30%","1,999","3.76%"
"7.1 - 8","1,781","3.59%","93.64%","121","3.44%","6.36%","1,902","3.58%"
"8.1 - 9","707","1.42%","93.52%","49","1.39%","6.48%","756","1.42%"
"9.1 - 10","5,959","12.00%","94.32%","359","10.21%","5.68%","6,318","11.88%"
"10.1 - 12","2,355","4.74%","96.00%","98","2.79%","4.00%","2,453","4.61%"
"12.1 - 15","3,417","6.88%","95.82%","149","4.24%","4.18%","3,566","6.71%"
"15.1 - 20","3,462","6.97%","96.60%","122","3.47%","3.40%","3,584","6.74%"
"20.1 - Over","2,727","5.49%","97.64%","66","1.88%","2.36%","2,793","5.25%"
"Life","6,167","12.42%","95.58%","285","8.11%","4.42%","6,452","12.13%"
"Life Without Parole","459","0.92%","98.71%","6","0.17%","1.29%","465","0.87%"
"Death","102","0.21%","99.03%","1","0.03%","0.97%","103","0.19%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","49,655","100%","93.39%","3,515","100%","6.61%","53,170","100%"
