"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","3,665","7.37%","91.83%","326","9.24%","8.17%","3,991","7.50%"
"1.1 - 2","3,799","7.64%","88.14%","511","14.48%","11.86%","4,310","8.10%"
"2.1 - 3","3,740","7.53%","89.37%","445","12.61%","10.63%","4,185","7.86%"
"3.1 - 4","2,615","5.26%","90.70%","268","7.59%","9.30%","2,883","5.42%"
"4.1 - 5","4,816","9.69%","91.52%","446","12.63%","8.48%","5,262","9.89%"
"5.1 - 6","1,988","4.00%","93.20%","145","4.11%","6.80%","2,133","4.01%"
"6.1 - 7","1,879","3.78%","93.67%","127","3.60%","6.33%","2,006","3.77%"
"7.1 - 8","1,776","3.57%","93.38%","126","3.57%","6.62%","1,902","3.57%"
"8.1 - 9","715","1.44%","93.46%","50","1.42%","6.54%","765","1.44%"
"9.1 - 10","5,995","12.06%","94.41%","355","10.06%","5.59%","6,350","11.93%"
"10.1 - 12","2,354","4.74%","95.93%","100","2.83%","4.07%","2,454","4.61%"
"12.1 - 15","3,429","6.90%","95.78%","151","4.28%","4.22%","3,580","6.73%"
"15.1 - 20","3,464","6.97%","96.60%","122","3.46%","3.40%","3,586","6.74%"
"20.1 - Over","2,726","5.49%","97.60%","67","1.90%","2.40%","2,793","5.25%"
"Life","6,172","12.42%","95.60%","284","8.05%","4.40%","6,456","12.13%"
"Life Without Parole","459","0.92%","98.71%","6","0.17%","1.29%","465","0.87%"
"Death","101","0.20%","99.02%","1","0.03%","0.98%","102","0.19%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","49,696","100%","93.37%","3,530","100.0%","6.63%","53,226","100.0%"
