"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,201","2.62%","91.26%","115","4.03%","8.74%","1,316","2.70%"
"1.1 - 2","3,536","7.72%","90.76%","360","12.63%","9.24%","3,896","8.00%"
"2.1 - 3","3,437","7.50%","89.97%","383","13.43%","10.03%","3,820","7.85%"
"3.1 - 4","2,549","5.56%","91.66%","232","8.14%","8.34%","2,781","5.71%"
"4.1 - 5","4,641","10.13%","92.86%","357","12.52%","7.14%","4,998","10.27%"
"5.1 - 6","1,934","4.22%","93.57%","133","4.67%","6.43%","2,067","4.25%"
"6.1 - 7","1,907","4.16%","94.92%","102","3.58%","5.08%","2,009","4.13%"
"7.1 - 8","1,790","3.91%","94.31%","108","3.79%","5.69%","1,898","3.90%"
"8.1 - 9","757","1.65%","94.15%","47","1.65%","5.85%","804","1.65%"
"9.1 - 10","5,850","12.77%","95.23%","293","10.28%","4.77%","6,143","12.62%"
"10.1 - 12","2,242","4.89%","95.00%","118","4.14%","5.00%","2,360","4.85%"
"12.1 - 15","3,381","7.38%","96.11%","137","4.81%","3.89%","3,518","7.23%"
"15.1 - 20","3,378","7.37%","96.29%","130","4.56%","3.71%","3,508","7.21%"
"20.1 - Over","2,658","5.80%","97.72%","62","2.17%","2.28%","2,720","5.59%"
"Life","6,052","13.21%","95.77%","267","9.37%","4.23%","6,319","12.98%"
"Life Without Parole","404","0.88%","98.54%","6","0.21%","1.46%","410","0.84%"
"Death","102","0.22%","99.03%","1","0.04%","0.97%","103","0.21%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"blank","1","0.01%","100.00%","0","0.00%","0.00%","1","0.01%"
"Total Reported","45,823","100%","94.14%","2,851","100.0%","5.86%","48,674","100.0%"
