"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,719","3.42%","88.20%","230","6.19%","11.80%","1,949","3.61%"
"1.1 - 2","3,669","7.29%","87.15%","541","14.55%","12.85%","4,210","7.79%"
"2.1 - 3","3,947","7.84%","88.96%","490","13.18%","11.04%","4,437","8.21%"
"3.1 - 4","2,882","5.73%","90.29%","310","8.34%","9.71%","3,192","5.91%"
"4.1 - 5","5,284","10.50%","91.29%","504","13.56%","8.71%","5,788","10.71%"
"5.1 - 6","2,073","4.12%","92.71%","163","4.38%","7.29%","2,236","4.14%"
"6.1 - 7","1,989","3.95%","93.78%","132","3.55%","6.22%","2,121","3.92%"
"7.1 - 8","1,850","3.68%","93.53%","128","3.44%","6.47%","1,978","3.66%"
"8.1 - 9","706","1.40%","93.88%","46","1.24%","6.12%","752","1.39%"
"9.1 - 10","6,217","12.35%","94.28%","377","10.14%","5.72%","6,594","12.20%"
"10.1 - 12","2,467","4.90%","95.51%","116","3.12%","4.49%","2,583","4.78%"
"12.1 - 15","3,800","7.55%","96.08%","155","4.17%","3.92%","3,955","7.32%"
"15.1 - 20","3,692","7.34%","96.47%","135","3.63%","3.53%","3,827","7.08%"
"20.1 - Over","2,931","5.82%","97.21%","84","2.26%","2.79%","3,015","5.58%"
"Life","6,477","12.87%","95.62%","297","7.99%","4.38%","6,774","12.53%"
"Life Without Parole","519","1.03%","98.30%","9","0.24%","1.70%","528","0.98%"
"Death","106","0.21%","99.07%","1","0.03%","0.93%","107","0.20%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","50,331","100%","93.12%","3,718","100.0%","6.88%","54,049","100.0%"
