"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","564","1.09%","92.31%","47","1.16%","7.69%","611","1.10%"
"1.1 - 2","817","1.59%","89.98%","91","2.25%","10.02%","908","1.63%"
"2.1 - 3","1,239","2.40%","86.70%","190","4.71%","13.30%","1,429","2.57%"
"3.1 - 4","1,023","1.99%","88.73%","130","3.22%","11.27%","1,153","2.08%"
"4.1 - 5","1,936","3.76%","89.88%","218","5.40%","10.12%","2,154","3.88%"
"5.1 - 6","1,141","2.21%","89.70%","131","3.24%","10.30%","1,272","2.29%"
"6.1 - 7","1,090","2.12%","90.91%","109","2.70%","9.09%","1,199","2.16%"
"7.1 - 8","1,178","2.29%","92.18%","100","2.48%","7.82%","1,278","2.30%"
"8.1 - 9","1,253","2.43%","93.16%","92","2.28%","6.84%","1,345","2.42%"
"9.1 - 10","3,566","6.92%","89.76%","407","10.08%","10.24%","3,973","7.15%"
"10.1 - 12","2,213","4.30%","90.73%","226","5.60%","9.27%","2,439","4.39%"
"12.1 - 15","4,966","9.64%","91.96%","434","10.75%","8.04%","5,400","9.72%"
"15.1 - 20","9,518","18.47%","93.08%","708","17.54%","6.92%","10,226","18.41%"
"20.1 - Over","11,883","23.07%","94.35%","711","17.61%","5.65%","12,594","22.67%"
"Life","7,405","14.37%","95.11%","381","9.44%","4.89%","7,786","14.01%"
"Life Without Parole","1,577","3.06%","96.45%","58","1.44%","3.55%","1,635","2.94%"
"Death","82","0.16%","98.80%","1","0.02%","1.20%","83","0.15%"
"Youthful Offenders","68","0.13%","95.77%","3","0.07%","4.23%","71","0.13%"
"Total Reported","51,519","100%","92.73%","4,037","100%","7.27%","55,556","100%"
