"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,208","2.46%","88.05%","164","4.49%","11.95%","1,372","2.60%"
"1.1 - 2","3,536","7.19%","88.49%","460","12.59%","11.51%","3,996","7.57%"
"2.1 - 3","3,913","7.96%","87.91%","538","14.72%","12.09%","4,451","8.43%"
"3.1 - 4","2,812","5.72%","90.51%","295","8.07%","9.49%","3,107","5.88%"
"4.1 - 5","5,161","10.50%","90.51%","541","14.81%","9.49%","5,702","10.80%"
"5.1 - 6","1,970","4.01%","92.62%","157","4.30%","7.38%","2,127","4.03%"
"6.1 - 7","1,926","3.92%","93.00%","145","3.97%","7.00%","2,071","3.92%"
"7.1 - 8","1,761","3.58%","93.82%","116","3.17%","6.18%","1,877","3.55%"
"8.1 - 9","780","1.59%","93.19%","57","1.56%","6.81%","837","1.58%"
"9.1 - 10","6,004","12.21%","94.30%","363","9.93%","5.70%","6,367","12.06%"
"10.1 - 12","2,410","4.90%","95.14%","123","3.37%","4.86%","2,533","4.80%"
"12.1 - 15","3,792","7.71%","95.98%","159","4.35%","4.02%","3,951","7.48%"
"15.1 - 20","3,682","7.49%","96.26%","143","3.91%","3.74%","3,825","7.24%"
"20.1 - Over","2,996","6.09%","97.30%","83","2.27%","2.70%","3,079","5.83%"
"Life","6,534","13.29%","95.65%","297","8.13%","4.35%","6,831","12.93%"
"Life Without Parole","572","1.16%","97.95%","12","0.33%","2.05%","584","1.11%"
"Death","99","0.20%","99.00%","1","0.03%","1.00%","100","0.19%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","49,159","100%","93.08%","3,654","100%","6.92%","52,813","100.0%"
