"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","407","0.86%","93.56%","28","0.83%","6.44%","435","0.86%"
"1.1 - 2","610","1.30%","90.10%","67","1.98%","9.90%","677","1.34%"
"2.1 - 3","986","2.10%","89.07%","121","3.57%","10.93%","1,107","2.19%"
"3.1 - 4","827","1.76%","90.98%","82","2.42%","9.02%","909","1.80%"
"4.1 - 5","1,546","3.28%","90.83%","156","4.60%","9.17%","1,702","3.37%"
"5.1 - 6","915","1.94%","90.33%","98","2.89%","9.67%","1,013","2.01%"
"6.1 - 7","895","1.90%","92.65%","71","2.10%","7.35%","966","1.91%"
"7.1 - 8","949","2.02%","92.23%","80","2.36%","7.77%","1,029","2.04%"
"8.1 - 9","1,030","2.19%","93.04%","77","2.27%","6.96%","1,107","2.19%"
"9.1 - 10","3,012","6.40%","89.24%","363","10.71%","10.76%","3,375","6.69%"
"10.1 - 12","1,916","4.07%","91.50%","178","5.25%","8.50%","2,094","4.15%"
"12.1 - 15","4,454","9.46%","92.79%","346","10.21%","7.21%","4,800","9.51%"
"15.1 - 20","8,884","18.88%","93.52%","616","18.18%","6.48%","9,500","18.83%"
"20.1 - Over","11,566","24.58%","94.51%","672","19.83%","5.49%","12,238","24.26%"
"Life","7,348","15.61%","95.18%","372","10.98%","4.82%","7,720","15.30%"
"Life Without Parole","1,600","3.40%","96.50%","58","1.71%","3.50%","1,658","3.29%"
"Death","76","0.16%","98.70%","1","0.03%","1.30%","77","0.15%"
"Youthful Offenders","42","0.09%","93.33%","3","0.09%","6.67%","45","0.09%"
"Total Reported","47,063","100%","93.28%","3,389","100.0%","6.72%","50,452","100%"
