"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","514","1.01%","90.81%","52","1.32%","9.19%","566","1.03%"
"1.1 - 2","797","1.57%","90.16%","87","2.21%","9.84%","884","1.61%"
"2.1 - 3","1,071","2.10%","87.50%","153","3.88%","12.50%","1,224","2.23%"
"3.1 - 4","911","1.79%","87.43%","131","3.33%","12.57%","1,042","1.90%"
"4.1 - 5","1,954","3.84%","88.90%","244","6.19%","11.10%","2,198","4.01%"
"5.1 - 6","1,081","2.12%","89.27%","130","3.30%","10.73%","1,211","2.21%"
"6.1 - 7","1,089","2.14%","90.75%","111","2.82%","9.25%","1,200","2.19%"
"7.1 - 8","1,164","2.29%","92.38%","96","2.44%","7.62%","1,260","2.30%"
"8.1 - 9","1,257","2.47%","93.25%","91","2.31%","6.75%","1,348","2.46%"
"9.1 - 10","3,693","7.26%","89.81%","419","10.64%","10.19%","4,112","7.50%"
"10.1 - 12","2,253","4.43%","90.48%","237","6.02%","9.52%","2,490","4.54%"
"12.1 - 15","5,062","9.94%","92.49%","411","10.43%","7.51%","5,473","9.98%"
"15.1 - 20","9,488","18.64%","93.48%","662","16.81%","6.52%","10,150","18.51%"
"20.1 - Over","11,533","22.66%","94.41%","683","17.34%","5.59%","12,216","22.28%"
"Life","7,393","14.52%","95.21%","372","9.44%","4.79%","7,765","14.16%"
"Life Without Parole","1,474","2.90%","96.40%","55","1.40%","3.60%","1,529","2.79%"
"Death","90","0.18%","100.00%","0","0.00%","0.00%","90","0.16%"
"Youthful Offenders","77","0.15%","93.90%","5","0.13%","6.10%","82","0.15%"
"Total Reported","50,901","100%","92.82%","3,939","100.0%","7.18%","54,840","100.0%"
