"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","476","0.94%","92.79%","37","0.97%","7.21%","513","0.95%"
"1.1 - 2","703","1.39%","90.71%","72","1.88%","9.29%","775","1.43%"
"2.1 - 3","963","1.91%","86.21%","154","4.03%","13.79%","1,117","2.06%"
"3.1 - 4","853","1.69%","89.79%","97","2.54%","10.21%","950","1.75%"
"4.1 - 5","1,948","3.86%","90.02%","216","5.65%","9.98%","2,164","3.99%"
"5.1 - 6","1,008","2.00%","89.12%","123","3.22%","10.88%","1,131","2.08%"
"6.1 - 7","1,135","2.25%","90.87%","114","2.98%","9.13%","1,249","2.30%"
"7.1 - 8","1,158","2.30%","91.47%","108","2.83%","8.53%","1,266","2.33%"
"8.1 - 9","1,250","2.48%","93.42%","88","2.30%","6.58%","1,338","2.47%"
"9.1 - 10","3,817","7.57%","89.92%","428","11.20%","10.08%","4,245","7.82%"
"10.1 - 12","2,331","4.62%","90.95%","232","6.07%","9.05%","2,563","4.72%"
"12.1 - 15","5,256","10.42%","92.31%","438","11.46%","7.69%","5,694","10.49%"
"15.1 - 20","9,556","18.95%","93.60%","653","17.09%","6.40%","10,209","18.82%"
"20.1 - Over","11,097","22.00%","94.59%","635","16.62%","5.41%","11,732","21.62%"
"Life","7,340","14.55%","95.14%","375","9.81%","4.86%","7,715","14.22%"
"Life Without Parole","1,339","2.65%","96.47%","49","1.28%","3.53%","1,388","2.56%"
"Death","119","0.24%","100.00%","0","0.00%","0.00%","119","0.22%"
"Youthful Offenders","87","0.17%","97.75%","2","0.05%","2.25%","89","0.16%"
"Total Reported","50,436","100%","92.96%","3,821","100%","7.04%","54,257","100%"
