"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","450","0.89%","91.65%","41","1.08%","8.35%","491","0.91%"
"1.1 - 2","696","1.38%","91.10%","68","1.80%","8.90%","764","1.41%"
"2.1 - 3","949","1.88%","86.12%","153","4.04%","13.88%","1,102","2.04%"
"3.1 - 4","819","1.63%","90.30%","88","2.32%","9.70%","907","1.68%"
"4.1 - 5","1,944","3.86%","89.67%","224","5.91%","10.33%","2,168","4.00%"
"5.1 - 6","1,044","2.07%","90.47%","110","2.90%","9.53%","1,154","2.13%"
"6.1 - 7","1,152","2.29%","91.14%","112","2.96%","8.86%","1,264","2.33%"
"7.1 - 8","1,156","2.30%","91.38%","109","2.88%","8.62%","1,265","2.34%"
"8.1 - 9","1,269","2.52%","93.72%","85","2.24%","6.28%","1,354","2.50%"
"9.1 - 10","3,859","7.66%","90.25%","417","11.01%","9.75%","4,276","7.90%"
"10.1 - 12","2,329","4.62%","90.91%","233","6.15%","9.09%","2,562","4.73%"
"12.1 - 15","5,216","10.36%","92.27%","437","11.54%","7.73%","5,653","10.44%"
"15.1 - 20","9,561","18.99%","93.63%","650","17.16%","6.37%","10,211","18.86%"
"20.1 - Over","11,049","21.94%","94.57%","635","16.77%","5.43%","11,684","21.58%"
"Life","7,326","14.55%","95.14%","374","9.88%","4.86%","7,700","14.22%"
"Life Without Parole","1,333","2.65%","96.52%","48","1.27%","3.48%","1,381","2.55%"
"Death","119","0.24%","100.00%","0","0.00%","0.00%","119","0.22%"
"Youthful Offenders","88","0.17%","96.70%","3","0.08%","3.30%","91","0.17%"
"Total Reported","50,359","100%","93.01%","3,787","100%","6.99%","54,146","100.0%"
