"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","439","0.88%","93.40%","31","0.83%","6.60%","470","0.87%"
"1.1 - 2","649","1.30%","90.64%","67","1.79%","9.36%","716","1.33%"
"2.1 - 3","1,010","2.02%","89.07%","124","3.31%","10.93%","1,134","2.11%"
"3.1 - 4","908","1.81%","90.17%","99","2.64%","9.83%","1,007","1.87%"
"4.1 - 5","1,938","3.87%","90.01%","215","5.73%","9.99%","2,153","4.00%"
"5.1 - 6","1,134","2.27%","89.86%","128","3.41%","10.14%","1,262","2.35%"
"6.1 - 7","1,118","2.23%","91.56%","103","2.75%","8.44%","1,221","2.27%"
"7.1 - 8","1,214","2.42%","92.25%","102","2.72%","7.75%","1,316","2.45%"
"8.1 - 9","1,257","2.51%","92.70%","99","2.64%","7.30%","1,356","2.52%"
"9.1 - 10","4,469","8.93%","90.23%","484","12.91%","9.77%","4,953","9.20%"
"10.1 - 12","2,564","5.12%","91.28%","245","6.53%","8.72%","2,809","5.22%"
"12.1 - 15","5,194","10.38%","92.03%","450","12.00%","7.97%","5,644","10.49%"
"15.1 - 20","9,507","18.99%","93.61%","649","17.31%","6.39%","10,156","18.87%"
"20.1 - Over","10,161","20.30%","94.94%","542","14.45%","5.06%","10,703","19.89%"
"Life","7,130","14.24%","95.10%","367","9.79%","4.90%","7,497","13.93%"
"Life Without Parole","1,146","2.29%","96.55%","41","1.09%","3.45%","1,187","2.21%"
"Death","149","0.30%","100.00%","0","0.00%","0.00%","149","0.28%"
"Youthful Offenders","75","0.15%","94.94%","4","0.11%","5.06%","79","0.15%"
"Total Reported","50,062","100%","93.03%","3,750","100.0%","6.97%","53,812","100.0%"
