"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","2,204","4.49%","89.70%","253","7.07%","10.30%","2,457","4.67%"
"1.1 - 2","3,839","7.82%","88.40%","504","14.09%","11.60%","4,343","8.25%"
"2.1 - 3","3,936","8.02%","88.31%","521","14.57%","11.69%","4,457","8.46%"
"3.1 - 4","2,826","5.76%","90.64%","292","8.17%","9.36%","3,118","5.92%"
"4.1 - 5","4,917","10.02%","91.39%","463","12.95%","8.61%","5,380","10.22%"
"5.1 - 6","2,074","4.23%","92.67%","164","4.59%","7.33%","2,238","4.25%"
"6.1 - 7","2,024","4.12%","93.96%","130","3.64%","6.04%","2,154","4.09%"
"7.1 - 8","1,843","3.75%","93.70%","124","3.47%","6.30%","1,967","3.74%"
"8.1 - 9","774","1.58%","93.14%","57","1.59%","6.86%","831","1.58%"
"9.1 - 10","6,068","12.36%","94.86%","329","9.20%","5.14%","6,397","12.15%"
"10.1 - 12","2,307","4.70%","95.29%","114","3.19%","4.71%","2,421","4.60%"
"12.1 - 15","3,455","7.04%","95.89%","148","4.14%","4.11%","3,603","6.84%"
"15.1 - 20","3,425","6.98%","96.48%","125","3.50%","3.52%","3,550","6.74%"
"20.1 - Over","2,704","5.51%","97.62%","66","1.85%","2.38%","2,770","5.26%"
"Life","6,159","12.55%","95.67%","279","7.80%","4.33%","6,438","12.23%"
"Life Without Parole","423","0.86%","98.60%","6","0.17%","1.40%","429","0.81%"
"Death","101","0.21%","99.02%","1","0.03%","0.98%","102","0.19%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"blank","1","0.01%","100.00%","0","0.00%","0.00%","1","0.01%"
"Total Reported","49,083","100%","93.21%","3,576","100.0%","6.79%","52,659","100.0%"
