"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,309","2.62%","89.90%","147","4.08%","10.10%","1,456","2.72%"
"1.1 - 2","3,578","7.16%","87.87%","494","13.70%","12.13%","4,072","7.60%"
"2.1 - 3","4,079","8.17%","88.83%","513","14.23%","11.17%","4,592","8.57%"
"3.1 - 4","2,908","5.82%","89.59%","338","9.38%","10.41%","3,246","6.06%"
"4.1 - 5","5,352","10.71%","91.66%","487","13.51%","8.34%","5,839","10.90%"
"5.1 - 6","2,063","4.13%","92.26%","173","4.80%","7.74%","2,236","4.17%"
"6.1 - 7","2,005","4.01%","94.13%","125","3.47%","5.87%","2,130","3.98%"
"7.1 - 8","1,918","3.84%","93.88%","125","3.47%","6.12%","2,043","3.81%"
"8.1 - 9","700","1.40%","92.96%","53","1.47%","7.04%","753","1.41%"
"9.1 - 10","6,293","12.60%","94.55%","363","10.07%","5.45%","6,656","12.43%"
"10.1 - 12","2,542","5.09%","95.35%","124","3.44%","4.65%","2,666","4.98%"
"12.1 - 15","3,717","7.44%","95.97%","156","4.33%","4.03%","3,873","7.23%"
"15.1 - 20","3,648","7.30%","96.61%","128","3.55%","3.39%","3,776","7.05%"
"20.1 - Over","2,877","5.76%","97.39%","77","2.14%","2.61%","2,954","5.52%"
"Life","6,375","12.76%","95.62%","292","8.10%","4.38%","6,667","12.45%"
"Life Without Parole","485","0.97%","98.18%","9","0.25%","1.82%","494","0.92%"
"Death","103","0.21%","99.04%","1","0.03%","0.96%","104","0.19%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","49,955","100%","93.27%","3,605","100.0%","6.73%","53,560","100%"
