"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","450","0.89%","93.75%","30","0.79%","6.25%","480","0.88%"
"1.1 - 2","670","1.33%","92.67%","53","1.40%","7.33%","723","1.33%"
"2.1 - 3","965","1.91%","86.55%","150","3.96%","13.45%","1,115","2.05%"
"3.1 - 4","853","1.69%","89.60%","99","2.62%","10.40%","952","1.75%"
"4.1 - 5","1,989","3.94%","89.19%","241","6.37%","10.81%","2,230","4.11%"
"5.1 - 6","1,109","2.20%","89.00%","137","3.62%","11.00%","1,246","2.29%"
"6.1 - 7","1,115","2.21%","91.77%","100","2.64%","8.23%","1,215","2.24%"
"7.1 - 8","1,206","2.39%","91.64%","110","2.91%","8.36%","1,316","2.42%"
"8.1 - 9","1,211","2.40%","93.73%","81","2.14%","6.27%","1,292","2.38%"
"9.1 - 10","4,224","8.36%","89.89%","475","12.55%","10.11%","4,699","8.65%"
"10.1 - 12","2,538","5.02%","91.96%","222","5.87%","8.04%","2,760","5.08%"
"12.1 - 15","5,311","10.51%","92.46%","433","11.44%","7.54%","5,744","10.58%"
"15.1 - 20","9,625","19.06%","93.74%","643","16.99%","6.26%","10,268","18.91%"
"20.1 - Over","10,570","20.93%","94.62%","601","15.88%","5.38%","11,171","20.57%"
"Life","7,219","14.29%","95.22%","362","9.56%","4.78%","7,581","13.96%"
"Life Without Parole","1,243","2.46%","96.51%","45","1.19%","3.49%","1,288","2.37%"
"Death","131","0.26%","100.00%","0","0.00%","0.00%","131","0.24%"
"Youthful Offenders","81","0.16%","96.43%","3","0.08%","3.57%","84","0.15%"
"Total Reported","50,510","100%","93.03%","3,785","100.0%","6.97%","54,295","100%"
