"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,226","2.47%","88.65%","157","4.29%","11.35%","1,383","2.60%"
"1.1 - 2","3,529","7.11%","88.98%","436","11.91%","10.99%","3,966","7.44%"
"2.1 - 3","3,962","7.99%","88.12%","532","14.53%","11.83%","4,496","8.44%"
"3.1 - 4","2,836","5.72%","90.96%","282","7.70%","9.04%","3,118","5.85%"
"4.1 - 5","5,233","10.55%","90.57%","545","14.89%","9.43%","5,778","10.84%"
"5.1 - 6","2,034","4.10%","92.04%","176","4.81%","7.96%","2,210","4.15%"
"6.1 - 7","1,958","3.95%","92.27%","164","4.48%","7.73%","2,122","3.98%"
"7.1 - 8","1,793","3.61%","93.58%","123","3.36%","6.42%","1,916","3.60%"
"8.1 - 9","767","1.55%","93.20%","56","1.53%","6.80%","823","1.54%"
"9.1 - 10","6,091","12.28%","94.22%","374","10.22%","5.78%","6,465","12.13%"
"10.1 - 12","2,429","4.90%","95.37%","118","3.22%","4.63%","2,547","4.78%"
"12.1 - 15","3,843","7.75%","95.84%","167","4.56%","4.16%","4,010","7.53%"
"15.1 - 20","3,699","7.45%","96.33%","141","3.85%","3.67%","3,840","7.21%"
"20.1 - Over","3,007","6.06%","97.35%","82","2.24%","2.65%","3,089","5.80%"
"Life","6,543","13.19%","95.69%","295","8.06%","4.31%","6,838","12.83%"
"Life Without Parole","566","1.14%","97.92%","12","0.33%","2.08%","578","1.08%"
"Death","99","0.20%","99.00%","1","0.03%","1.00%","100","0.19%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","49,618","100%","93.12%","3,661","100.0%","6.87%","53,282","100%"
