"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,480","3.17%","90.30%","159","4.83%","9.70%","1,639","3.28%"
"1.1 - 2","3,513","7.53%","88.38%","462","14.04%","11.62%","3,975","7.96%"
"2.1 - 3","3,595","7.70%","88.13%","484","14.71%","11.87%","4,079","8.17%"
"3.1 - 4","2,667","5.72%","90.31%","286","8.69%","9.69%","2,953","5.91%"
"4.1 - 5","4,719","10.11%","91.68%","428","13.01%","8.32%","5,147","10.30%"
"5.1 - 6","1,977","4.24%","93.30%","142","4.32%","6.70%","2,119","4.24%"
"6.1 - 7","1,924","4.12%","94.13%","120","3.65%","5.87%","2,044","4.09%"
"7.1 - 8","1,828","3.92%","93.55%","126","3.83%","6.45%","1,954","3.91%"
"8.1 - 9","773","1.66%","93.81%","51","1.55%","6.19%","824","1.65%"
"9.1 - 10","5,884","12.61%","95.04%","307","9.33%","4.96%","6,191","12.39%"
"10.1 - 12","2,252","4.83%","95.10%","116","3.53%","4.90%","2,368","4.74%"
"12.1 - 15","3,391","7.27%","96.01%","141","4.29%","3.99%","3,532","7.07%"
"15.1 - 20","3,404","7.29%","96.43%","126","3.83%","3.57%","3,530","7.07%"
"20.1 - Over","2,657","5.69%","97.58%","66","2.01%","2.42%","2,723","5.45%"
"Life","6,087","13.04%","95.77%","269","8.18%","4.23%","6,356","12.72%"
"Life Without Parole","409","0.88%","98.55%","6","0.18%","1.45%","415","0.83%"
"Death","99","0.21%","99.00%","1","0.03%","1.00%","100","0.20%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"blank","1","0.01%","100.00%","0","0.00%","0.00%","1","0.01%"
"Total Reported","46,663","100%","93.41%","3,290","100.0%","6.59%","49,953","100%"
