"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,464","2.81%","89.82%","166","4.34%","10.18%","1,630","2.91%"
"1.1 - 2","3,125","5.99%","89.75%","357","9.33%","10.25%","3,482","6.22%"
"2.1 - 3","3,796","7.28%","89.55%","443","11.58%","10.45%","4,239","7.57%"
"3.1 - 4","3,090","5.92%","90.56%","322","8.42%","9.44%","3,412","6.09%"
"4.1 - 5","4,882","9.36%","91.34%","463","12.10%","8.66%","5,345","9.55%"
"5.1 - 6","2,305","4.42%","90.32%","247","6.46%","9.68%","2,552","4.56%"
"6.1 - 7","2,249","4.31%","92.17%","191","4.99%","7.83%","2,440","4.36%"
"7.1 - 8","2,019","3.87%","92.32%","168","4.39%","7.68%","2,187","3.91%"
"8.1 - 9","1,604","3.08%","93.42%","113","2.95%","6.58%","1,717","3.07%"
"9.1 - 10","5,487","10.52%","93.54%","379","9.91%","6.46%","5,866","10.48%"
"10.1 - 12","2,830","5.43%","94.71%","158","4.13%","5.29%","2,988","5.34%"
"12.1 - 15","4,000","7.67%","95.31%","197","5.15%","4.69%","4,197","7.50%"
"15.1 - 20","3,998","7.66%","95.88%","172","4.50%","4.12%","4,170","7.45%"
"20.1 - Over","3,503","6.72%","97.22%","100","2.61%","2.78%","3,603","6.44%"
"Life","6,915","13.26%","95.48%","327","8.55%","4.52%","7,242","12.94%"
"Life Without Parole","802","1.54%","97.33%","22","0.58%","2.67%","824","1.47%"
"Death","90","0.17%","98.90%","1","0.03%","1.10%","91","0.16%"
"Youthful Offenders","2","0.01%","100.00%","0","0.00%","0.00%","2","0.01%"
"Total Reported","52,161","100%","93.17%","3,826","100.0%","6.83%","55,987","100.0%"
