"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,199","2.45%","86.32%","190","5.17%","13.68%","1,389","2.64%"
"1.1 - 2","3,288","6.71%","86.44%","516","14.03%","13.56%","3,804","7.23%"
"2.1 - 3","3,841","7.84%","88.60%","494","13.43%","11.40%","4,335","8.23%"
"3.1 - 4","2,843","5.81%","89.29%","341","9.27%","10.71%","3,184","6.05%"
"4.1 - 5","5,331","10.89%","91.54%","493","13.41%","8.46%","5,824","11.06%"
"5.1 - 6","2,012","4.11%","92.46%","164","4.46%","7.54%","2,176","4.13%"
"6.1 - 7","1,996","4.08%","93.84%","131","3.56%","6.16%","2,127","4.04%"
"7.1 - 8","1,845","3.77%","93.47%","129","3.51%","6.53%","1,974","3.75%"
"8.1 - 9","699","1.43%","93.20%","51","1.39%","6.80%","750","1.42%"
"9.1 - 10","6,163","12.58%","94.25%","376","10.23%","5.75%","6,539","12.42%"
"10.1 - 12","2,471","5.05%","95.26%","123","3.35%","4.74%","2,594","4.93%"
"12.1 - 15","3,728","7.61%","96.03%","154","4.19%","3.97%","3,882","7.37%"
"15.1 - 20","3,661","7.48%","96.49%","133","3.62%","3.51%","3,794","7.21%"
"20.1 - Over","2,892","5.91%","97.34%","79","2.15%","2.66%","2,971","5.64%"
"Life","6,400","13.07%","95.61%","294","8.00%","4.39%","6,694","12.71%"
"Life Without Parole","497","1.01%","98.42%","8","0.22%","1.58%","505","0.96%"
"Death","103","0.21%","99.04%","1","0.03%","0.96%","104","0.20%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","48,972","100%","93.02%","3,677","100.0%","6.98%","52,649","100%"
