"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","431","0.86%","91.90%","38","1.07%","8.10%","469","0.88%"
"1.1 - 2","690","1.38%","91.51%","64","1.80%","8.49%","754","1.41%"
"2.1 - 3","1,003","2.01%","90.20%","109","3.07%","9.80%","1,112","2.08%"
"3.1 - 4","927","1.86%","91.87%","82","2.31%","8.13%","1,009","1.89%"
"4.1 - 5","2,132","4.27%","91.11%","208","5.85%","8.89%","2,340","4.37%"
"5.1 - 6","1,090","2.18%","89.64%","126","3.55%","10.36%","1,216","2.27%"
"6.1 - 7","1,152","2.31%","92.09%","99","2.79%","7.91%","1,251","2.34%"
"7.1 - 8","1,209","2.42%","92.15%","103","2.90%","7.85%","1,312","2.45%"
"8.1 - 9","1,225","2.45%","92.52%","99","2.79%","7.48%","1,324","2.47%"
"9.1 - 10","4,919","9.85%","90.54%","514","14.46%","9.46%","5,433","10.15%"
"10.1 - 12","2,590","5.18%","92.04%","224","6.30%","7.96%","2,814","5.26%"
"12.1 - 15","5,252","10.51%","92.22%","443","12.46%","7.78%","5,695","10.64%"
"15.1 - 20","9,407","18.83%","94.15%","585","16.46%","5.85%","9,992","18.67%"
"20.1 - Over","9,617","19.25%","95.41%","463","13.03%","4.59%","10,080","18.84%"
"Life","7,073","14.16%","95.14%","361","10.16%","4.86%","7,434","13.89%"
"Life Without Parole","1,055","2.11%","97.24%","30","0.84%","2.76%","1,085","2.03%"
"Death","92","0.18%","98.92%","1","0.03%","1.08%","93","0.17%"
"Youthful Offenders","93","0.19%","94.90%","5","0.14%","5.10%","98","0.18%"
"Total Reported","49,957","100%","93.36%","3,554","100.0%","6.64%","53,511","100%"
