"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","482","1.10%","92.34%","40","1.34%","7.66%","522","1.12%"
"1.1 - 2","550","1.26%","92.59%","44","1.47%","7.41%","594","1.27%"
"2.1 - 3","841","1.92%","89.95%","94","3.15%","10.05%","935","2.00%"
"3.1 - 4","777","1.78%","92.83%","60","2.01%","7.17%","837","1.79%"
"4.1 - 5","1,316","3.01%","90.14%","144","4.82%","9.86%","1,460","3.13%"
"5.1 - 6","828","1.89%","91.29%","79","2.64%","8.71%","907","1.94%"
"6.1 - 7","802","1.83%","92.18%","68","2.28%","7.82%","870","1.86%"
"7.1 - 8","920","2.10%","91.54%","85","2.85%","8.46%","1,005","2.15%"
"8.1 - 9","996","2.28%","94.41%","59","1.98%","5.59%","1,055","2.26%"
"9.1 - 10","2,455","5.62%","91.37%","232","7.77%","8.63%","2,687","5.75%"
"10.1 - 12","1,616","3.70%","91.25%","155","5.19%","8.75%","1,771","3.79%"
"12.1 - 15","3,849","8.80%","92.70%","303","10.14%","7.30%","4,152","8.89%"
"15.1 - 20","8,177","18.71%","93.57%","562","18.81%","6.43%","8,739","18.71%"
"20.1 - Over","11,239","25.71%","94.64%","636","21.29%","5.36%","11,875","25.43%"
"Life","7,182","16.43%","95.15%","366","12.25%","4.85%","7,548","16.16%"
"Life Without Parole","1,616","3.70%","96.48%","59","1.98%","3.52%","1,675","3.59%"
"Death","37","0.08%","97.37%","1","0.03%","2.63%","38","0.08%"
"Youthful Offenders","32","0.07%","100.00%","0","0.00%","0.00%","32","0.07%"
"Total Reported","43,715","100%","93.60%","2,987","100%","6.40%","46,702","100%"
