"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","2,325","4.79%","88.67%","297","8.45%","11.33%","2,622","5.04%"
"1.1 - 2","3,634","7.49%","87.91%","500","14.23%","12.09%","4,134","7.95%"
"2.1 - 3","3,781","7.79%","89.30%","453","12.89%","10.70%","4,234","8.14%"
"3.1 - 4","2,713","5.59%","90.64%","280","7.97%","9.36%","2,993","5.75%"
"4.1 - 5","4,867","10.03%","91.40%","458","13.03%","8.60%","5,325","10.24%"
"5.1 - 6","2,037","4.20%","92.80%","158","4.50%","7.20%","2,195","4.22%"
"6.1 - 7","1,959","4.04%","94.00%","125","3.56%","6.00%","2,084","4.01%"
"7.1 - 8","1,790","3.69%","94.06%","113","3.22%","5.94%","1,903","3.66%"
"8.1 - 9","737","1.52%","93.29%","53","1.51%","6.71%","790","1.52%"
"9.1 - 10","6,119","12.61%","94.68%","344","9.79%","5.32%","6,463","12.42%"
"10.1 - 12","2,300","4.74%","95.32%","113","3.22%","4.68%","2,413","4.64%"
"12.1 - 15","3,436","7.08%","95.95%","145","4.13%","4.05%","3,581","6.88%"
"15.1 - 20","3,437","7.09%","96.60%","121","3.44%","3.40%","3,558","6.84%"
"20.1 - Over","2,714","5.59%","97.70%","64","1.82%","2.30%","2,778","5.34%"
"Life","6,125","12.63%","95.58%","283","8.05%","4.42%","6,408","12.32%"
"Life Without Parole","433","0.89%","98.63%","6","0.17%","1.37%","439","0.84%"
"Death","98","0.20%","98.99%","1","0.03%","1.01%","99","0.19%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","48,508","100%","93.25%","3,514","100.0%","6.75%","52,022","100.0%"
