"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,254","2.57%","84.27%","234","6.18%","15.73%","1,488","2.83%"
"1.1 - 2","3,572","7.31%","88.35%","471","12.45%","11.65%","4,043","7.68%"
"2.1 - 3","3,872","7.92%","86.80%","589","15.57%","13.20%","4,461","8.47%"
"3.1 - 4","2,749","5.62%","90.46%","290","7.66%","9.54%","3,039","5.77%"
"4.1 - 5","5,136","10.51%","90.23%","555","14.67%","9.75%","5,692","10.81%"
"5.1 - 6","1,874","3.83%","92.54%","151","3.99%","7.46%","2,025","3.84%"
"6.1 - 7","1,911","3.91%","92.90%","146","3.86%","7.10%","2,057","3.91%"
"7.1 - 8","1,758","3.60%","93.46%","123","3.25%","6.54%","1,881","3.57%"
"8.1 - 9","776","1.59%","93.49%","54","1.43%","6.51%","830","1.58%"
"9.1 - 10","5,978","12.23%","94.50%","348","9.20%","5.50%","6,326","12.01%"
"10.1 - 12","2,353","4.81%","95.30%","116","3.07%","4.70%","2,469","4.69%"
"12.1 - 15","3,742","7.65%","95.80%","163","4.31%","4.17%","3,906","7.42%"
"15.1 - 20","3,686","7.54%","96.32%","141","3.73%","3.68%","3,827","7.27%"
"20.1 - Over","2,988","6.11%","97.11%","89","2.35%","2.89%","3,077","5.84%"
"Life","6,540","13.38%","95.60%","301","7.95%","4.40%","6,841","12.99%"
"Life Without Parole","593","1.21%","98.02%","12","0.32%","1.98%","605","1.15%"
"Death","100","0.20%","99.01%","1","0.03%","0.99%","101","0.19%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","48,885","100%","92.81%","3,784","100.0%","7.18%","52,671","100.0%"
