"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","417","0.96%","93.50%","29","0.98%","6.50%","446","0.96%"
"1.1 - 2","550","1.26%","92.44%","45","1.52%","7.56%","595","1.28%"
"2.1 - 3","851","1.95%","89.86%","96","3.24%","10.14%","947","2.03%"
"3.1 - 4","763","1.75%","91.27%","73","2.46%","8.73%","836","1.80%"
"4.1 - 5","1,281","2.94%","90.40%","136","4.59%","9.60%","1,417","3.04%"
"5.1 - 6","830","1.90%","92.32%","69","2.33%","7.68%","899","1.93%"
"6.1 - 7","812","1.86%","92.38%","67","2.26%","7.62%","879","1.89%"
"7.1 - 8","871","2.00%","91.97%","76","2.56%","8.03%","947","2.03%"
"8.1 - 9","922","2.12%","93.99%","59","1.99%","6.01%","981","2.11%"
"9.1 - 10","2,528","5.80%","90.06%","279","9.41%","9.94%","2,807","6.03%"
"10.1 - 12","1,679","3.85%","91.75%","151","5.09%","8.25%","1,830","3.93%"
"12.1 - 15","3,908","8.97%","93.20%","285","9.62%","6.80%","4,193","9.01%"
"15.1 - 20","8,142","18.69%","93.77%","541","18.25%","6.23%","8,683","18.66%"
"20.1 - Over","11,102","25.48%","94.61%","633","21.36%","5.39%","11,735","25.22%"
"Life","7,231","16.60%","95.18%","366","12.35%","4.82%","7,597","16.32%"
"Life Without Parole","1,583","3.63%","96.47%","58","1.96%","3.53%","1,641","3.53%"
"Death","71","0.16%","98.61%","1","0.03%","1.39%","72","0.15%"
"Youthful Offenders","31","0.07%","100.00%","0","0.00%","0.00%","31","0.07%"
"Total Reported","43,572","100%","93.63%","2,964","100%","6.37%","46,536","100%"
