"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,461","2.93%","88.38%","192","5.25%","11.62%","1,653","3.09%"
"1.1 - 2","3,606","7.23%","87.50%","515","14.08%","12.50%","4,121","7.69%"
"2.1 - 3","3,944","7.90%","89.19%","478","13.07%","10.81%","4,422","8.26%"
"3.1 - 4","2,860","5.73%","90.08%","315","8.61%","9.92%","3,175","5.93%"
"4.1 - 5","5,304","10.63%","91.39%","500","13.67%","8.61%","5,804","10.84%"
"5.1 - 6","2,074","4.16%","92.34%","172","4.70%","7.66%","2,246","4.19%"
"6.1 - 7","2,014","4.04%","93.59%","138","3.77%","6.41%","2,152","4.02%"
"7.1 - 8","1,845","3.70%","93.51%","128","3.50%","6.49%","1,973","3.68%"
"8.1 - 9","691","1.38%","92.75%","54","1.48%","7.25%","745","1.39%"
"9.1 - 10","6,215","12.45%","94.32%","374","10.23%","5.68%","6,589","12.30%"
"10.1 - 12","2,455","4.92%","95.41%","118","3.23%","4.59%","2,573","4.80%"
"12.1 - 15","3,781","7.58%","96.21%","149","4.07%","3.79%","3,930","7.34%"
"15.1 - 20","3,664","7.34%","96.40%","137","3.75%","3.60%","3,801","7.10%"
"20.1 - Over","2,907","5.83%","97.26%","82","2.24%","2.74%","2,989","5.58%"
"Life","6,466","12.96%","95.64%","295","8.07%","4.36%","6,761","12.62%"
"Life Without Parole","509","1.02%","98.26%","9","0.25%","1.74%","518","0.97%"
"Death","102","0.20%","99.03%","1","0.03%","0.97%","103","0.19%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","49,901","100%","93.17%","3,657","100%","6.83%","53,558","100%"
