"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","422","0.85%","92.95%","32","0.91%","7.05%","454","0.86%"
"1.1 - 2","651","1.31%","90.29%","70","1.99%","9.71%","721","1.36%"
"2.1 - 3","919","1.85%","89.14%","112","3.18%","10.86%","1,031","1.94%"
"3.1 - 4","894","1.80%","92.36%","74","2.10%","7.64%","968","1.82%"
"4.1 - 5","2,134","4.31%","90.58%","222","6.31%","9.42%","2,356","4.44%"
"5.1 - 6","1,067","2.15%","89.44%","126","3.58%","10.56%","1,193","2.25%"
"6.1 - 7","1,134","2.29%","92.27%","95","2.70%","7.73%","1,229","2.32%"
"7.1 - 8","1,209","2.44%","91.94%","106","3.01%","8.06%","1,315","2.48%"
"8.1 - 9","1,153","2.33%","92.76%","90","2.56%","7.24%","1,243","2.34%"
"9.1 - 10","5,136","10.36%","90.53%","537","15.26%","9.47%","5,673","10.69%"
"10.1 - 12","2,667","5.38%","92.03%","231","6.57%","7.97%","2,898","5.46%"
"12.1 - 15","5,293","10.68%","92.66%","419","11.91%","7.34%","5,712","10.76%"
"15.1 - 20","9,391","18.95%","94.13%","586","16.66%","5.87%","9,977","18.80%"
"20.1 - Over","9,381","18.93%","95.59%","433","12.31%","4.41%","9,814","18.49%"
"Life","7,014","14.15%","95.17%","356","10.12%","4.83%","7,370","13.89%"
"Life Without Parole","992","2.00%","97.25%","28","0.80%","2.75%","1,020","1.92%"
"Death","97","0.20%","98.98%","1","0.03%","1.02%","98","0.18%"
"Youthful Offenders","2","0.01%","100.00%","0","0.00%","0.00%","2","0.01%"
"Total Reported","49,556","100%","93.37%","3,518","100%","6.63%","53,074","100.0%"
