"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","521","1.02%","90.77%","53","1.34%","9.23%","574","1.04%"
"1.1 - 2","798","1.56%","89.76%","91","2.30%","10.24%","889","1.62%"
"2.1 - 3","1,081","2.12%","87.32%","157","3.98%","12.68%","1,238","2.25%"
"3.1 - 4","913","1.79%","87.28%","133","3.37%","12.72%","1,046","1.90%"
"4.1 - 5","1,954","3.83%","89.22%","236","5.98%","10.78%","2,190","3.98%"
"5.1 - 6","1,074","2.10%","89.87%","121","3.06%","10.13%","1,195","2.17%"
"6.1 - 7","1,087","2.13%","91.27%","104","2.63%","8.73%","1,191","2.17%"
"7.1 - 8","1,155","2.26%","91.81%","103","2.61%","8.19%","1,258","2.29%"
"8.1 - 9","1,267","2.48%","93.02%","95","2.41%","6.98%","1,362","2.48%"
"9.1 - 10","3,697","7.24%","89.73%","423","10.71%","10.27%","4,120","7.49%"
"10.1 - 12","2,290","4.49%","90.73%","234","5.93%","9.27%","2,524","4.59%"
"12.1 - 15","5,100","9.99%","92.56%","410","10.38%","7.44%","5,510","10.02%"
"15.1 - 20","9,504","18.62%","93.39%","673","17.04%","6.61%","10,177","18.50%"
"20.1 - Over","11,548","22.62%","94.41%","684","17.32%","5.59%","12,232","22.24%"
"Life","7,417","14.53%","95.21%","373","9.45%","4.79%","7,790","14.16%"
"Life Without Parole","1,491","2.92%","96.44%","55","1.39%","3.56%","1,546","2.81%"
"Death","90","0.18%","100.00%","0","0.00%","0.00%","90","0.16%"
"Youthful Offenders","67","0.13%","94.37%","4","0.10%","5.63%","71","0.13%"
"Total Reported","51,054","100%","92.82%","3,949","100%","7.18%","55,003","100%"
