"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","462","0.91%","91.67%","42","1.07%","8.33%","504","0.92%"
"1.1 - 2","770","1.51%","89.85%","87","2.22%","10.15%","857","1.56%"
"2.1 - 3","1,067","2.09%","87.39%","154","3.93%","12.61%","1,221","2.23%"
"3.1 - 4","920","1.81%","88.12%","124","3.17%","11.88%","1,044","1.90%"
"4.1 - 5","2,025","3.98%","88.62%","260","6.64%","11.38%","2,285","4.17%"
"5.1 - 6","1,061","2.08%","89.46%","125","3.19%","10.54%","1,186","2.16%"
"6.1 - 7","1,086","2.13%","91.49%","101","2.58%","8.51%","1,187","2.16%"
"7.1 - 8","1,205","2.37%","92.06%","104","2.66%","7.94%","1,309","2.39%"
"8.1 - 9","1,269","2.49%","93.17%","93","2.37%","6.83%","1,362","2.48%"
"9.1 - 10","3,818","7.49%","90.43%","404","10.31%","9.57%","4,222","7.70%"
"10.1 - 12","2,233","4.38%","90.00%","248","6.33%","10.00%","2,481","4.52%"
"12.1 - 15","5,073","9.96%","92.52%","410","10.47%","7.48%","5,483","9.99%"
"15.1 - 20","9,494","18.64%","93.44%","666","17.00%","6.56%","10,160","18.52%"
"20.1 - Over","11,485","22.54%","94.47%","672","17.16%","5.53%","12,157","22.16%"
"Life","7,379","14.48%","95.21%","371","9.47%","4.79%","7,750","14.13%"
"Life Without Parole","1,430","2.81%","96.43%","53","1.35%","3.57%","1,483","2.70%"
"Death","95","0.19%","100.00%","0","0.00%","0.00%","95","0.17%"
"Youthful Offenders","71","0.14%","95.95%","3","0.08%","4.05%","74","0.13%"
"Total Reported","50,943","100%","92.86%","3,917","100%","7.14%","54,860","100%"
