"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,450","2.95%","88.41%","190","5.30%","11.59%","1,640","3.11%"
"1.1 - 2","3,324","6.75%","88.10%","449","12.52%","11.90%","3,773","7.15%"
"2.1 - 3","3,923","7.97%","87.55%","558","15.56%","12.45%","4,481","8.49%"
"3.1 - 4","2,832","5.75%","90.42%","300","8.36%","9.58%","3,132","5.93%"
"4.1 - 5","5,083","10.33%","91.09%","497","13.86%","8.91%","5,580","10.57%"
"5.1 - 6","1,983","4.03%","92.15%","169","4.71%","7.85%","2,152","4.08%"
"6.1 - 7","1,905","3.87%","93.38%","135","3.76%","6.62%","2,040","3.86%"
"7.1 - 8","1,798","3.65%","94.53%","104","2.90%","5.47%","1,902","3.60%"
"8.1 - 9","877","1.78%","95.02%","46","1.28%","4.98%","923","1.75%"
"9.1 - 10","5,809","11.80%","94.70%","325","9.06%","5.30%","6,134","11.62%"
"10.1 - 12","2,386","4.85%","95.36%","116","3.23%","4.64%","2,502","4.74%"
"12.1 - 15","3,776","7.67%","96.40%","141","3.93%","3.60%","3,917","7.42%"
"15.1 - 20","3,679","7.48%","96.26%","143","3.99%","3.74%","3,822","7.24%"
"20.1 - Over","3,076","6.25%","97.10%","92","2.56%","2.90%","3,168","6.00%"
"Life","6,568","13.35%","95.51%","309","8.61%","4.49%","6,877","13.02%"
"Life Without Parole","623","1.27%","98.26%","11","0.31%","1.74%","634","1.20%"
"Death","118","0.24%","98.33%","2","0.06%","1.67%","120","0.23%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","49,213","100%","93.21%","3,587","100%","6.79%","52,800","100.0%"
