"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,395","2.84%","87.96%","191","5.37%","12.04%","1,586","3.01%"
"1.1 - 2","3,337","6.80%","88.07%","452","12.71%","11.93%","3,789","7.20%"
"2.1 - 3","3,875","7.89%","87.81%","538","15.13%","12.19%","4,413","8.38%"
"3.1 - 4","2,802","5.71%","90.77%","285","8.01%","9.23%","3,087","5.86%"
"4.1 - 5","5,080","10.35%","91.06%","499","14.03%","8.94%","5,579","10.59%"
"5.1 - 6","1,963","4.00%","92.16%","167","4.69%","7.84%","2,130","4.04%"
"6.1 - 7","1,900","3.87%","93.32%","136","3.82%","6.68%","2,036","3.87%"
"7.1 - 8","1,806","3.68%","94.55%","104","2.92%","5.45%","1,910","3.63%"
"8.1 - 9","869","1.77%","94.97%","46","1.29%","5.03%","915","1.74%"
"9.1 - 10","5,823","11.86%","94.70%","326","9.17%","5.30%","6,149","11.68%"
"10.1 - 12","2,395","4.88%","95.34%","117","3.29%","4.66%","2,512","4.77%"
"12.1 - 15","3,784","7.71%","96.43%","140","3.94%","3.57%","3,924","7.45%"
"15.1 - 20","3,689","7.51%","96.29%","142","3.99%","3.71%","3,831","7.28%"
"20.1 - Over","3,071","6.25%","97.09%","92","2.59%","2.91%","3,163","6.01%"
"Life","6,571","13.38%","95.51%","309","8.69%","4.49%","6,880","13.07%"
"Life Without Parole","622","1.27%","98.26%","11","0.31%","1.74%","633","1.20%"
"Death","117","0.24%","98.32%","2","0.06%","1.68%","119","0.23%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","49,102","100%","93.25%","3,557","100.0%","6.75%","52,659","100.0%"
