"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","451","0.89%","93.37%","32","0.85%","6.63%","483","0.89%"
"1.1 - 2","663","1.31%","92.21%","56","1.48%","7.79%","719","1.32%"
"2.1 - 3","972","1.92%","87.41%","140","3.71%","12.59%","1,112","2.05%"
"3.1 - 4","869","1.72%","90.15%","95","2.52%","9.85%","964","1.77%"
"4.1 - 5","1,996","3.95%","88.83%","251","6.65%","11.17%","2,247","4.14%"
"5.1 - 6","1,114","2.20%","89.48%","131","3.47%","10.52%","1,245","2.29%"
"6.1 - 7","1,111","2.20%","91.52%","103","2.73%","8.48%","1,214","2.24%"
"7.1 - 8","1,194","2.36%","91.92%","105","2.78%","8.08%","1,299","2.39%"
"8.1 - 9","1,225","2.42%","93.87%","80","2.12%","6.13%","1,305","2.40%"
"9.1 - 10","4,220","8.35%","89.92%","473","12.53%","10.08%","4,693","8.64%"
"10.1 - 12","2,532","5.01%","92.01%","220","5.83%","7.99%","2,752","5.07%"
"12.1 - 15","5,317","10.52%","92.47%","433","11.47%","7.53%","5,750","10.59%"
"15.1 - 20","9,660","19.11%","93.71%","648","17.17%","6.29%","10,308","18.98%"
"20.1 - Over","10,554","20.88%","94.66%","595","15.76%","5.34%","11,149","20.53%"
"Life","7,206","14.26%","95.18%","365","9.67%","4.82%","7,571","13.94%"
"Life Without Parole","1,240","2.45%","96.50%","45","1.19%","3.50%","1,285","2.37%"
"Death","133","0.26%","100.00%","0","0.00%","0.00%","133","0.24%"
"Youthful Offenders","85","0.17%","96.59%","3","0.08%","3.41%","88","0.16%"
"Total Reported","50,542","100%","93.05%","3,775","100.0%","6.95%","54,317","100.0%"
