"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","8,639","17.61%","94.40%","512","14.26%","5.60%","9,151","17.38%"
"1.1 - 2","3,328","6.79%","88.14%","448","12.48%","11.86%","3,776","7.17%"
"2.1 - 3","3,839","7.83%","87.51%","548","15.26%","12.49%","4,387","8.33%"
"3.1 - 4","2,771","5.65%","90.56%","289","8.05%","9.44%","3,060","5.81%"
"4.1 - 5","5,121","10.44%","90.89%","513","14.29%","9.11%","5,634","10.70%"
"5.1 - 6","1,976","4.03%","92.25%","166","4.62%","7.75%","2,142","4.07%"
"6.1 - 7","1,905","3.88%","93.25%","138","3.84%","6.75%","2,043","3.88%"
"7.1 - 8","1,826","3.72%","94.32%","110","3.06%","5.68%","1,936","3.68%"
"8.1 - 9","853","1.74%","95.20%","43","1.20%","4.80%","896","1.70%"
"9.1 - 10","5,847","11.92%","94.58%","335","9.33%","5.42%","6,182","11.74%"
"10.1 - 12","2,398","4.89%","95.42%","115","3.20%","4.58%","2,513","4.77%"
"12.1 - 15","3,776","7.70%","96.45%","139","3.87%","3.55%","3,915","7.44%"
"15.1 - 20","3,697","7.54%","96.30%","142","3.95%","3.70%","3,839","7.29%"
"20.1 - Over","3,068","6.26%","97.06%","93","2.59%","2.94%","3,161","6.01%"
"Life","1","0.01%","100.00%","0","0.00%","0.00%","1","0.01%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","49,048","100%","93.18%","3,591","100%","6.82%","52,639","100%"
